accession	bioproject	title	organization	is_controlled	access	openaccess_data_type	release_time_string	url	lung	ici	neoadjuvant	mpr_keyword	gene_keyword	why	page_ok	description	accessibility_page	study_type	release_date_page	n_listing	listing_kinds	example_run_files	processed_on_hra
HRA004548	PRJCA016558	Effective production of highly functional macrophages from human pluripotent stem cells for cancer immunotherapy	Shenzhen Campus of Sun Yat-sen University	0	Open	0	2026-04-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004548	False	True	False	False	False	ici	True	Generation of chimeric antigen receptor macrophages (CAR-M) from human pluripotent stem cells (hPSCs) offers new prospects for tumor immunotherapy, but is currently challenged by low differentiation efficiency and limited function. In this study, we developed a highly efficient monolayer-based system that can produce around 6,000 CAR-M from a single hPSC within 3 weeks. Based on screens of modified structures, we identified macrophage-compatible CAR structures with optimized ability to generate hPSC-CAR-M with stable CAR expression and maintained the pro-inflammatory characteristics of macrophages to enhance their tumoricidal activity in vitro. To overcome the loss of tumoricidal activity of hPSC-CAR-M in vivo, we used interferon-r and a toll-like receptor 4 agonist to activate the innate immune system.	Open access	Cell line related study	2024-11-20	65	"{""run_or_nested"": 63, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1196201_f1.fq.gz,HRR1196201_r2.fq.gz,HRR1196201_sta.xml,(.+?)	0
HRA005483	PRJCA019608	Pembrolizumab Combined with Chemotherapy for Resectable Esophageal Squamous Cell Carcinoma (Keystone-001)	Tianjin Medical University Cancer Institute and Hospital	0	Open	0	2026-04-06	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005483	False	True	True	False	False	ici+neoadjuvant	True	Neoadjuvant pembrolizumab pluschemotherapy, followed by Da Vinci robotic-assisted surgery, was effective and safe forresectable ESCC. The expansion of TRGC2+ NKT cells in peripheral blood maypredict treatment response.	Open access	Disease Study	2024-09-13	76	"{""run_or_nested"": 74, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1367401_f1.fastq.gz,HRR1367401_r2.fastq.gz,HRR1367401_sta.xml,(.+?)	0
HRA003705	PRJCA011799	The effect of intratumoral heterogeneity of genome and immune microenvironment on relapse in patients with localized small cell lung cancer	The Cancer Hospital of the University of Chinese Academy of Sciences (Zhejiang Cancer Hospital)	0	Open	0	2024-11-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003705	True	False	False	False	False	lung	True	The GeoMx DSP instrument was employed to obtain the transcriptomics and proteomics from tumor, stroma, and para-tumor region from 44 patients diagnosed with SCLC at Zhejiang Cancer Center, Cancer Hospital of The University of Chinese Academy of Science.	Open access	Disease Study	2024-09-10	247	"{""run_or_nested"": 245, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR863271_f1.fq.gz,HRR863271_r2.fq.gz,HRR863271_sta.xml,(.+?)	0
HRA006560	PRJCA023079	Inhibiting RNA m6A Causes an Interferon Response in Cancer and Sustain T cell Function to Improve Cancer Immunotherapy	Guangzhou Institutes of Biomedicine and Health, Chinese Academy of Sciences	0	Open	0	2026-03-27	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006560	False	True	False	False	False	ici	True	N6-methyladenosine (m6A) is the most abundant mRNA modification catalyzed by METTL3. This study showed METTL3 inhibited activated interferon response genes including Isg15 and Oas2. METTL3 inhibiting augmented sensitivity to ICB therapy with anti-PD-1 in B16 melanoma mouse model and can also sustain T cell function.	Open access	Cell line related study	2024-09-01	6	"{""run_or_nested"": 4, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1503540_f1.fq.gz,HRR1503540_r2.fq.gz,HRR1503540_sta.xml,(.+?)	0
HRA008255	PRJCA028866	Sintilimab Combined with Anlotinib and Chemotherapy as Second-Line or Later Therapy in Extensive-Stage Small Cell Lung Cancer: A Phase II Clinical Trial	Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences	1	Controlled	0	2024-08-14	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008255	True	True	False	False	False	lung+ici	True	Phase II trial at Shandong Cancer Hospital tested anlotinib, sintilimab, and chemo in ES-SCLC as 2nd line. 25 patients, 6-cycle combo, mPFS 6.0m, mOS 13.4m, ORR 60%, DCR 76%, 80% TRAEs, 12% Grade 3+. ctDNA: low bTMT linked to better outcomes, KMT2D mutation in resistance. Trial N: ChiCTR2100049390.	Controlled access	Cohort Study	2024-08-14	0	{}		0
HRA008073	PRJCA028385	Efficacy of Cadonilimab and Anlotinib Combination in Treating Multiple Drug-Resistant Pulmonary Large Cell Neuroendocrine Carcinoma: Insights from a Case Report and Literature Review	GuiLin Medical University	1	Controlled	0	2024-10-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008073	True	True	False	False	False	lung+ici	True	This study assesses the efficacy of different treatment approaches, such as the use of cadonilimab and anlotinib, by monitoring the patient's response through various cycles of treatment. This includes the use of computed tomography scans to evaluate treatment response. We believe that our study makes a significant contribution to the literature because the case report explores alternative treatment options for pulmonary large cell neuroendocrine carcinoma patients who have shown resistance to traditional programmed death 1 monoclonal antibodies and multiple chemotherapies. The use of cadonilimab and anlotinib in this context is highlighted, suggesting that this combination could be a potential treatment strategy.	Controlled access	Disease Study	2024-07-29	0	{}		0
HRA008054	PRJCA028072	Phase II Trial of Neoadjuvant Camrelizumab and Apatinib in Patients with Resectable Non-Small-Cell Lung Cancer: Survival and Dynamic Circulating Tumor DNA Analyses	National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College	1	Controlled	0	2026-01-22	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA008054	True	True	True	False	False	lung+ici+neoadjuvant	True	Exploratory analysis of ctDNA-based dynamic monitoring of prognostic guidance value of neoadjuvant camrelizumab and apatinib in patients of resectable of non-small cell lung cancer	Controlled access	Disease Study	2024-07-23	0	{}		0
HRA002509	PRJCA009862	Microenvironment compartmentalization of NSCLC after immunotherapy revealed by single-cell and spatial transcriptomic analyses	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002509	True	True	False	False	False	lung+ici	True	PD-(L)1 immune checkpoint inhibitors have shifted the treatment paradigm of advanced non-small cell lung cancer (NSCLC). Here, we combined single cell and spatial transcriptomics to identify the spatial landscape of the NSCLC tumor microenvironment (TME) during immunotherapy. Multidimensional bioinformatics analyses revealed distinct spatial compartmentalization of the TME. Our study provides novel insights into the complex spatiotemporal ecosystem of NSCLC and offers clues for combinational therapies.	Controlled access	Disease Study	2024-07-17	0	{}		0
HRA002904	PRJCA010298	Neoadjuvant therapy with immune checkpoint blockade and chemotherapy for NSCLC	The Fifth Medical Center of Chinese PLA General Hospital	1	Controlled	0	2023-07-18	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002904	True	True	True	False	False	lung+ici+neoadjuvant	True	Multi-omics analysis uncovers prognostic biomarkers and tumorecosystem dynamics during sequential neoadjuvant treatment of dose-limiting chemotherapy combined with sintilimab for non-small cell lungcancer.	Controlled access	Disease Study	2024-06-29	0	{}		0
HRA006603	PRJCA022534	Preclinical study and phase II trial of adapting low-dose radiotherapy to immunotherapy in small cell lung cancer	West China Hospital of Sichuan University	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006603	True	True	False	False	False	lung+ici	True	Raw data for single-cell RNA sequencing of SCLC patients generated in this study.	Controlled access	Disease Study	2024-06-11	0	{}		0
HRA003748	PRJCA009346	Tumor microenvironment assessment-based signatures for predicting response to immunotherapy in non-small cell lung cancer	Nanfang Hospital, Southern Medical University	0	Open	0	2026-08-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003748	True	True	False	False	False	lung+ici	True	Immune checkpoint blockades (ICBs) have significantly altered the treatment paradigm for patients with non-small cell lung cancer (NSCLC) without driver mutations, but not all patients experience durable benefits. Predictive biomarkers are needed to identify patients who may benefit from ICBs. We obtained tumor specimens from NSCLC patients before anti-PD-1 inhibitor treatment and performed transcriptomic analysis to generate tumor microenvironment characteristics. Based on tumor microenvironment data, we sought to establish biomarker to predict immunotherapy efficacy for NSCLC.	Open access	Disease Study	2024-06-07	94	"{""run_or_nested"": 92, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR865710_f1.fq.gz,HRR865710_r2.fq.gz,HRR865710_sta.xml,(.+?)	0
HRA007421	PRJCA026191	Cuproptosis improves immunotherapy outcomes by upregulating HLA-DRA expression which promotes the aggregation of CD4+ and CD8+T lymphocytes in clear cell renal cell carcinoma	The First Affiliated Hospital of Harbin Medical University	0	Open	0	2024-05-16	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007421	False	True	False	False	False	ici	True	To investigate the possible effects of cuproptosis and HLA-DRA on the tumor immune microenvironment, we obtained plasmid-transfected HLA-DRA-OE-A498 cells after treatment with elesclomol and Cu for 24 h. The cells were washed three times with PBS and then collected and subjected to transcriptome sequencing analysis	Open access	Cell line related study	2024-05-16	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1757300_f1.fq.gz,HRR1757300_r2.fq.gz,HRR1757300_sta.xml,(.+?)	0
HRA007245	PRJCA025487	Mechanisms of resistance to 5-Fluorouracil and reversal strategies in lung cancer and breast cancer treatment.	Northeastern University	0	Open	0	2026-06-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA007245	True	False	False	False	False	lung	True	Overcoming 5-Fluorouracil resistance in human cancer cells by the combination of 5-Fu and Wnt inhibitors through the inhibition of Wnt/beta-Catenin signalling pathway.	Open access	Cell line related study	2024-05-15	26	"{""run_or_nested"": 24, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1734540_f1.fq.gz,HRR1734540_r2.fq.gz,HRR1734540_sta.xml,(.+?)	0
HRA004384	PRJCA016303	Biological Effects of Electronic Cigarettes on Lung Bronchial Epithelial Cells	Zhejiang University	0	Open	0	2023-12-12	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004384	True	False	False	False	False	lung	True	Multidimensional Assessment of the Biological Effects of Electronic Cigarettes on Lung Bronchial Epithelial Cells	Open access	Cell line related study	2024-04-30	32	"{""run_or_nested"": 30, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1169118_f1.fq.gz,HRR1169118_r2.fq.gz,HRR1169118_sta.xml,(.+?)	0
HRA006932	PRJCA024185	Sintilimab in Combination with Stereotactic Body Radiotherapy and Granulocyte-Macrophage Colony-Stimulating Factor in Metastatic Non-Small Cell Lung Cancer: A Multicenter Phase 2 Trial	Fudan University Shanghai Cancer Center	1	Controlled	0	2024-11-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006932	True	True	False	False	False	lung+ici	True	This single-arm, multicenter, phase 2 trial (NCT04106180) investigated the triple combination of Sintilimab, stereotactic body radiotherapy (SBRT) and granulocyte-macrophage colony-stimulating factor (GM-CSF) in metastatic non-small cell lung cancer (NSCLC). Paired tissue samples from an unirradiated tumor lesion were collected before and after SBRT but before the initiation of the first cycle of Sintilimab and GM-CSF treatment. RNA sequencing was performed using these samples.	Controlled access	Disease Study	2024-03-20	0	{}		0
HRA006916	PRJCA024355	Excess Fatty acid Shapes Metabolic Codependences in Steatotic NAFLD-HCC to Suppression of Immunotherapy	The First Affiliated Hospital of University of Science and Technology of China	0	Open	0	2026-07-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006916	False	True	False	False	False	ici	True	We performed RNA-seq using HCC cells treated with PAOA for different periods.	Open access	Cell line related study	2024-03-18	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1661931_f1.fq.gz,HRR1661931_r2.fq.gz,HRR1661931_sta.xml,(.+?)	0
HRA006862	PRJCA024188	Twist1 SUMOylation Drives Chemotherapy Resistance in Human Lung Cancer	Shanghai Jiao Tong University School of Medicine	0	Open	0	2024-03-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006862	True	False	False	False	False	lung	True	Twist1, an evolutionarily conserved basic helix-loop-helix transcription factor, plays a pivotal role in facilitating tumor metastasis and augmenting chemotherapy resistance. Our research has uncovered that Twist1 is subject to SUMOylation, with the modification sites precisely identified at lysine residues K38 and K73. The SUMOylation of Twist1 significantly impacts gene expression, contributing to the enhancement of chemotherapy resistance in tumor cells. Our findings underscore the critical function of Twist1 SUMOylation in oncogenic processes, suggesting potential targets for therapeutic intervention aimed at mitigating resistance to chemotherapy.	Open access	Cell line related study	2024-03-13	11	"{""run_or_nested"": 9, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1657674_f1.fastq.gz,HRR1657674_r2.fastq.gz,HRR1657674_sta.xml,(.+?)	0
HRA006855	PRJCA024159	Phosphorylation of AGO2 by TBK1 promotes the formation of oncogenic miRISC in NSCLC	Shanghai Jiao Tong University School of Medicine	0	Open	0	2024-03-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006855	True	False	False	False	False	lung	True	Non-small-cell lung cancer (NSCLC) is a highly lethal tumor that often develops resistance to targeted therapy. We show that Tank-binding kinase 1 (TBK1) phosphorylates AGO2 at S417 (pS417-AGO2), which promotes NSCLC progression by increasing the formation of microRNA-induced silencing complex (miRISC). High levels of pS417-AGO2 in clinical NSCLC specimens are positively associated with poor prognosis. Interestingly, the treatment with EGFR inhibitor Gefitinib can significantly induce pS417-AGO2, thereby increasing the formation and activity of oncogenic miRISC, which may contribute to NSCLC resistance to Gefitinib. Based on these, we have developed two therapeutic strategies. One is jointly to antagonize multiple oncogenic miRNAs highly expressed in NSCLC and use TBK1 inhibitor Amlexanox reducing the formation of oncogenic miRISC. Another approach is to combine Gefitinib with Amlexanox to inhibit the progression of Gefitinib-resistant NSCLC.	Open access	Cell line related study	2024-03-13	8	"{""run_or_nested"": 6, ""md5"": 1, ""other"": 1, ""fastq"": 1}"	HRR1657567.fastq.gz,HRR1657567_sta.xml,(.+?)	0
HRA005647	PRJCA020107	Spatially oraanized tumor-stroma boundary determines the efficacy of immunotherapy in colorectal cancer patients	Sun Yat-sen University Cancer Center	0	Open	0	2025-08-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005647	False	True	False	False	False	ici	True	Our work therefore uncovered the black box of how the molecular and cellular spatial structures of tumors determine ICBresponse, raising the possibility of reprogramming tumor-stroma boundary for sensitizing immunotherapies in the majority of CRCs	Open access	Disease Study	2024-01-17	138	"{""run_or_nested"": 136, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1394960_f1.fq.gz,HRR1394960_r2.fq.gz,HRR1394960_sta.xml,(.+?)	0
HRA006484	PRJCA022764	Sintilimab with two cycles of chemotherapy for treatment of naive advanced squamous NSCLC: A phase 2 clinical trial	The Affiliated Cancer Hospital of Zhengzhou University, Henan Cancer Hospital	1	Controlled	0	2025-02-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006484	True	True	False	False	False	lung+ici	True	This was single-arm, multicenter phase 2 clinical trial involving advanced squamous non-small cell lung cancer (sq-NSCLC) patients who received 2 cycles of nab-paclitaxel/carboplatin and sintilimab, followed by maintenance therapy with sintilimab. The primary endpoint was progression-free survival (PFS). Secondary endpoints included the objective response rate (ORR), disease control rate (DCR), time to response (TTR), duration of response (DOR), overall survival (OS) and safety indicators. The exploratory endpoints were to access the relationship between biomarkers in tumor tissue and treatment efficacy, and the association between circulating tumor DNA (ctDNA) dynamics and PFS.	Controlled access	Cohort Study	2024-01-17	0	{}		0
HRA006166	PRJCA021714	A Prospective Study of Circulating Tumor DNA Serial Monitoring of Tislelizumab immunotherapy Responses and Relapse as second-line monotherapy in metastatic Esophageal cancer	zhejiang cancer hosipital	0	Open	0	2025-03-24	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA006166	False	True	False	False	False	ici	True	We prospectively enrolled and collected endoscopic biopsy samples from 12 patients with advanced ESCC treated with tislelizumab. Plasma was collected before and after every 2-3 treatment cycle of tislelizumab and when disease progression. Targeted sequencing of 425 genes on plasma cell-free DNA, DNA from leukocytes, and fixed esophageal tumor biopsies were performed. The patients underwent imaging analyses every 6-8 weeks until disease progression. The association between status and changes in circulating tumor DNA (ctDNA) following tislelizumab immunotherapy and response, tumor progression, and survival was determined.	Open access	Disease Study	2023-12-15	61	"{""run_or_nested"": 59, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1468675_f1.fastq.gz,HRR1468675_r2.fastq.gz,HRR1468675_sta.xml,(.+?)	0
HRA005933	PRJCA020894	The gut microbiome is associated with recurrence-free survival in patients with resected Stage IIIB-D or Stage IV melanoma treated with immune checkpoint inhibitors	New York University	0	Open	0	2024-10-17	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA005933	False	True	False	False	False	ici	True	We performed shotgun sequencing in pre-treatment stool samples obtained from 674 melanoma patients enrolled in an international, randomized, double-blind, phase III adjuvant trial assessing clinical outcomes following adjuvant nivolumab plus ipilimumab versus nivolumab, with recruitment spanning three continents and five geographically diverse regions.	Open access	Disease Study	2023-11-03	674	"{""run_or_nested"": 672, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1438925_f1.fastq.gz,HRR1438925_r2.fastq.gz,HRR1438925_sta.xml,(.+?)	0
HRA004052	PRJCA013338	a patient-specific Lung cancer assembloid model-V1	Tsinghua University	0	Open	0	2024-03-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004052	True	False	False	False	False	lung	True	Here, we develop an innovative patient-specific lung cancer assembloid (LCA) model by using a droplet microfluidic technology based on a microinjection strategy. This method enables precise manipulation of clinical micro-samples and rapid generation of LCAs with good intra-batch consistency in size and cell composition. The LCAs recapitulate the inter- and intra-tumoral heterogeneity, TME cellular diversity, genomic and transcriptomic landscape of their parental tumors. This LCA model could construct and identify the functional heterogeneity of cancer-associated fibroblasts that correlates with tumor responses to drug treatments. More importantly, LCA model presents better consistency in drug response profiling compared to the corresponding cancer organoids and accurately replicates the clinical outcomes of patients, suggesting the potential of the LCA model to predict personalized treatments.	Open access	cancer model	2023-09-19	20	"{""run_or_nested"": 18, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR1050369_f1.fastq.gz,HRR1050369_r2.fastq.gz,HRR1050369_sta.xml,(.+?)	0
HRA003259	PRJCA012386	Safety and tolerability of low-dose radiation and stereotactic body radiotherapy plus sintilimab for treatment-naive stage IV PD-L1+ non-small-cell lung cancer: a phase 1 trial	West China Hospital of Sichuan University	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003259	True	True	False	False	False	lung+ici	True	This pilot phase I trial aims to investigate the safety and tolerability of anti-programmed cell death-1 (PD-1) monoclonal antibody Sintilimab (also called IBI308) in combination with concurrent stereotactic body radiation therapy (SBRT) and low dose radiotherapy (LDRT) in treating patients with stage IV non-small cell lung cancer (NSCLC).	Controlled access	Disease Study	2023-08-05	0	{}		0
HRA002538	PRJCA006184	Transcriptome analysis of pulmonary fibrosis caused by COVID-19 or systemic lupus erythematosus	Wuhan University	0	Open	0	2026-07-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002538	True	False	False	False	False	lung	True	The COVID-19 pandemic poses a huge threat to public health, and pulmonary fibrosis is one of the symptoms of severe cases of infection. Systemic lupus erythematosus (SLE) is a multi-system autoimmune disease with pulmonary fibrosis as one of its symptoms. We conducted a preliminary study on the mechanism of pulmonary fibrosis caused by these two diseases, providing theoretical guidance for clinical treatment. Our group investigated the transcriptional characteristics of the occurrence and progression of pulmonary fibrosis in these two diseases, and conducted pathological and transcriptome analysis of lung graft specimens for COVID-19 and SLE fibrosis.	Open access	Disease Study	2023-07-11	9	"{""run_or_nested"": 7, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR691347_f1.fastq.gz,HRR691347_r2.fastq.gz,HRR691347_sta.xml,(.+?)	0
HRA004954	PRJCA017962	Low-dose radiotherapy recruits TCF1+PD-1+CD8+ T cells to enhance efficacy of immunotherapy in small cell lung cancer	West China Hospital of Sichuan University	1	Controlled	0	2026-08-10	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004954	True	True	False	False	False	lung+ici	True	Raw data for single-cell RNA sequencing of SCLC patients generated in this study.	Controlled access	Disease Study	2023-06-29	0	{}		0
HRA004337	PRJCA016046	HLA-I evolutionary divergence confers response to PD-1 blockade plus chemotherapy in untreated advanced non-small-cell lung cancer	Tongji University	1	Controlled	0	2023-06-15	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA004337	True	True	False	False	False	lung+ici	True	PD-1 blockade plus chemotherapy has become the new standard of care in patients with untreated advanced non-small-cell lung cancer (NSCLC), whereas predictive biomarkers remain unknown. Here, we integrated clinical and HLA class I (HLA-I) genotype data of 427 NSCLC patients treated with first-line PD-1 blockade plus chemotherapy or chemotherapy from two previously reported phase 3 trials and investigated the predictive value of HLA-I evolutionary divergence (HED). HED could predict improved response rates and survival outcomes in patients treated with PD-1 blockade plus chemotherapy but not chemotherapy in both two trials, and its predictive value held in multivariate analysis when adjusted for PD-L1 expression and tumor mutation burden.	Controlled access	Cohort Study	2023-06-20	0	{}		0
HRA003975	PRJCA014884	Blood-based Genomic and Cellular Determinants of Response to Neoadjuvant PD-1 Blockade in Patients with Non-Small-Cell Lung Cancer	Northwest University	1	Controlled	0	2024-03-20	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003975	True	True	True	False	False	lung+ici+neoadjuvant	True	The integrated analyses employed in the current study identified blood-based molecular and cellular signatures that are associated with the responsiveness and overall survival of PD-1/PD-L1 blockade therapy plus chemotherapy.	Controlled access	Disease Study	2023-02-17	0	{}		0
HRA003967	PRJCA014934	identification of key prognostic genes in lung cancer	Fudan University	0	Open	0	2025-09-25	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003967	True	False	False	False	False	lung	True	identification of key prognostic genes in lung cancer, then over-express such genes in tumor cell lines, then co-cultured with fibroblast cell lines, and then sequenced cell lines	Open access	Cell line related study	2023-02-15	5	"{""run_or_nested"": 3, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR913310_f1.fastq.gz,HRR913310_r2.fastq.gz,HRR913310_sta.xml,(.+?)	0
HRA001033	PRJCA005740	Single-cell RNA-seq and bulk RNA data of non-small cell lung cancer during neoadjuvant immunotherapy	Shanghai Pulmonary Hospital Tongji University	1	Controlled	0	2026-08-13	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001033	True	True	True	False	False	lung+ici+neoadjuvant	True	Most patients are still refractory to immunotherapy or acquire resistance. We characterized the single-cell transcriptomes of ~92000 cells from 15 non-small cell lung cancer (NSCLC) before and after neoadjuvant PD-1 blockade combined with chemotherapy to decode immunotherapy resistance mechanisms. In addition, we also performed bulk RNA-seq from another 24 patients before therapy as a validation cohort. Our study offers invaluable resources for uncovering immunotherapy resistance.	Controlled access	Disease Study	2023-01-28	0	{}		0
HRA003470	PRJCA013338	a patient-specific Lung cancer assembloid model	Tsinghua University	0	Open	0	2024-03-11	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003470	True	False	False	False	False	lung	True	Here, we develop an innovative patient-specific lung cancer assembloid (LCA) model by using a droplet microfluidic technology based on a microinjection strategy. This method enables precise manipulation of clinical micro-samples and rapid generation of LCAs with good intra-batch consistency in size and cell composition. The LCAs recapitulate the inter- and intra-tumoral heterogeneity, TME cellular diversity, genomic and transcriptomic landscape of their parental tumors. This LCA model could construct and identify the functional heterogeneity of cancer-associated fibroblasts that correlates with tumor responses to drug treatments. More importantly, LCA model presents better consistency in drug response profiling compared to the corresponding cancer organoids and accurately replicates the clinical outcomes of patients, suggesting the potential of the LCA model to predict personalized treatments.	Open access	cancer model	2022-11-22	11	"{""run_or_nested"": 9, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR838802_f1.fastq.gz,HRR838802_r2.fastq.gz,HRR838802_sta.xml,(.+?)	0
HRA003341	PRJCA012761	Viral reactivation in the lungs of patient with severe pneumonia is associated with lung microbiota	First Affiliated Hospital of Zhejiang University School of Medicine	0	Open	0	2023-03-05	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003341	True	False	False	False	False	lung	True	Purpose: Virus reactivation in the lungs of patients with severe pneumonia is associated with increased mortality. To date, rare studies have reported the correlation between viral reactivation in the lungs and lung microbiota. Methods: The bronchoalveolar lavage fluid of 49 patients with severe pneumonia admitted to the Department of Critical Care Medicine of the First Affiliated Hospital of Zhejiang University School of Medicine was collected. Virus reactivation was detected by Metagenomic next-generation sequencing and lung microbiota was detected by 16S rRNA.	Open access	Cohort Study	2022-10-27	51	"{""run_or_nested"": 49, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR798257_f1.fq.gz,HRR798257_r2.fq.gz,HRR798257_sta.xml,(.+?)	0
HRA003044	PRJCA011829	Transcriptome-wide m6A Methylation Profiling of human lung cancer tissue by m6A-seq	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	0	Open	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003044	True	False	False	False	False	lung	True	By performing m6A-seq analysis on lung tissue from LUAD patients, we want to identify the m6A methylation pattern on primary tumor tissue and paired non-cancerous adjacent tissues.	Open access	Disease Study	2022-09-29	26	"{""run_or_nested"": 24, ""md5"": 1, ""other"": 1, ""fastq"": 2}"	HRR752395_f1.fq.gz,HRR752395_r2.fq.gz,HRR752395_sta.xml,(.+?)	0
HRA003138	PRJCA012122	Precision medicine of lung cancer using molecular probes in clinical translational study	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	0	Open	0	2026-07-23	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA003138	True	False	False	False	False	lung	True	our major aim of the study is to identify the subset of patients who may benefit from EGFR-TKIs therapy, and hence to design appropriate treatment strategies for optimized clinical outcome. Specifically, the biopsied samples of lung cancer patients are subjected to quantitative detection of EGFR mutations (L858R, 19del) using the fluorescent probe HX103 and FACS analysis. Combined with the results from gene sequencing and HX103 labeling, it will allow us to rapid and accurate determine EGFR mutations in lung cancer patients.	Open access	Disease Study	2022-09-26	78	"{""run_or_nested"": 76, ""md5"": 1, ""other"": 1}"	HRR762379.ab1,(.+?)	1
HRA002653	PRJCA010394	Role of induction immune-checkpoint inhibitors for resectable oncogene-mutant non-small cell lung cancer: A multicenter pooled analysis	Guangdong Lung Cancer Institute	1	Controlled	0	2024-11-08	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002653	True	True	True	False	False	lung+ici+neoadjuvant	True	Despite limited efficacy of immunotherapy for advanced non-small-cell lung cancer (NSCLC) with driver mutations, question as to whether neoadjuvant immunotherapy could be clinically valuable in those patients warrants further investigation. We utilized 34 oncogene-mutant NSCLC treated with induction immunotherapy from a large consecutive multicenter cohort along with multi-omics analysis on sequential paired samples. The overall response rate was 61.8% while 2 patients had disease progression. The major pathological response (MPR) rate was 41.2% (14/34) and pathological complete response (pCR) rate was 14.7% (5/34). Specifically, induction immunotherapy plus chemotherapy yielded the most superior efficacy among erlotinib and chemotherapy for resectable EGFR-mutant NSCLC. Our results firstly indicated clinical feasibility of induction immunotherapy for resectable oncogene-mutant NSCLC.	Controlled access	Disease Study	2022-07-19	0	{}		0
HRA002462	PRJCA009390	Clinical genomic factors associated with immunotherapy efficacy in real-world patients with advanced non-small cell lung cancer	Shandong Cancer Hospital and Institute, Shandong First Medical University and Shandong Academy of Medical Sciences	1	Controlled	0	2025-10-01	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA002462	True	True	False	False	False	lung+ici	True	The purpose of this study was to retrospectively analyze the clinical and genomic characteristics of 59 patients with advanced non-small cell lung cancer treated with immune checkpoint inhibitors at our center, and to explore the relevant clinical characteristics and biomarkers affecting the efficacy.	Controlled access	Disease Study	2022-06-28	0	{}		0
