accession,title,taxon,n_samples,pdat,gdstype,is_human,is_lung,is_ici,is_expression,mentions_outcome,relevant,n_suppl_files,suppl_total_bytes,suppl_total_mb,has_processed_suppl,processed_bytes,under_2gb,suppl_files,suppl_error,summary
GSE205049,Spatially Resolved Multi-Omics Single-Cell Analyses Inform Mechanisms of Immune Dysfunction in Pancreatic Cancer,Homo sapiens,18,2023/07/20,Expression profiling by high throughput sequencing,True,True,False,True,True,False,5,260793241,248.7,True,42689433,True,GSE205049_RAW.tar;GSE205049_scRNA-seq-annotations.csv.gz;GSE205049_scRNA-seq-integrated_GEM.csv.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"As pancreatic ductal adenocarcinoma (PDAC) continues to be recalcitrant to therapeutic interventions including poor response to immunotherapy, albeit effective in other solid malignancies, a more nuanced understanding of the immune microenvironment in PDAC is urgently needed. Using a spatially-resolved multimodal single cell approach we unveil a detailed view of the immune micromilieu in PDAC with specific emphasis on the correlation of immune subtypes with patient prognosis. We substantiate the exhausted phenotype of CD8 T cells and immunosuppressive features of myeloid cells, and highlight immune subpopulations with potentially underappreciated roles in PDAC that diverge from immune populations within adjacent normal areas, particularly CD4 T cell subsets presenting immunosuppressive phenotypes with varying modes of exhaustion. We reveal striking differences between immune phenotypes in PDAC and lung adenocarcinoma, which explain their differential responsiveness to current immunotherapies, providing a comprehensive resource for functional studies and the exploration of therapeutically actionable targets in PDAC."
GSE205354,Spatially resolved multi-omics single-cell analyses inform mechanisms of immune-dysfunction in pancreatic cancer,Homo sapiens,8,2023/07/20,Expression profiling by high throughput sequencing,True,True,False,True,True,False,3,187696844,179.0,True,1740,True,GSE205354_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"As pancreatic ductal adenocarcinoma (PDAC) continues to be recalcitrant to therapeutic interventions including poor response to immunotherapy, albeit effective in other solid malignancies, a more nuanced understanding of the immune microenvironment in PDAC is urgently needed. Using a spatially-resolved multimodal single cell approach we unveil a detailed view of the immune micromilieu in PDAC with specific emphasis on the correlation of immune subtypes with patient survival. We substantiate the exhausted phenotype of CD8 T cells and immunosuppressive features of myeloid cells, and highlight immune subpopulations with potentially underappreciated roles in PDAC, particularly CD4 T cell subsets presenting immunosuppressive phenotypes with varying modes of exhaustion. We also demonstrate the dynamic changes associated with transcriptional reprogramming of immune subtypes within adjacent normal tissue and tumor surrounding stroma, and further reveal striking differences between immune phenotypes in PDAC and lung adenocarcinoma, which at least partially explain their differential responsiveness to current immunotherapies and might have implications for the development of novel treatment strategies."
GSE207422,Tumor microenvironment remodeling after neoadjuvant immunotherapy in non-small cell lung cancer revealed by single-cell RNA sequencing,Homo sapiens,39,2023/03/21,Expression profiling by high throughput sequencing,True,True,True,True,True,True,5,189186662,180.4,True,189186662,True,GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz;GSE207422_NSCLC_bulk_RNAseq_metadata.xlsx;GSE207422_NSCLC_scRNAseq_UMI_matrix.txt.gz;GSE207422_NSCLC_scRNAseq_metadata.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"To address the potential therapy-resistant mechanisms and underly the changes of tumor microenvironment (TME) after immunotherapy, we performed scRNA-seq  and bulk RNA-seq from the patients with resectable non-small cell lung cancer (NSCLC) before and after PD-1 blockade combined with chemotherapy. We found that the combined therapy significantly remodeled the immune cell compartments in the TME. Patients with different pathologic responses had distinct characteristics of malignant cells and immune cell compositions. Our study provided several potential biomarkers for future immunotherapy and novel strategies to improve response."
GSE208113,"Gene expression profile at single cell level of human TILs treated with PD1-TIM3, PD1-LAG3, anti-PD1 or control isotype.",Homo sapiens,62,2022/07/16,Expression profiling by high throughput sequencing,True,False,True,True,False,False,4,4187599359,3993.6,True,2254864076,False,GSE208113_Natoli_et_al.RDS.gz;GSE208113_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Several next-generation cancer immunotherapies are designed to target LAG3 and TIM3 checkpoints, though the molecular and cellular mechanisms by which both receptors operate to mediate their anti-tumour effects are still poorly understood. Here, we examined the phenotypical and transcriptional consequences of treatment with bispecific antibodies (bsAbs), currently being tested in clinical trials, which co-target PD1 and either TIM3 or LAG3, respectively, using scRNAseq."
GSE208390,Effect of PLA2G10 treatment on activated human primary T cells.,Homo sapiens,12,2022/07/21,Expression profiling by high throughput sequencing,True,True,False,True,False,False,2,832512,0.8,True,832512,True,GSE208390_gene_count_matrix.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"T lymphocytes are frequently excluded from human cancer tissue even if T cell-recruiting chemokines are present. These observations implicate the presence of T cell excluders (TCEs) in the tumor microenvironment. We report here that phospholipase A2 group 10 (PLA2G10) protein is a potent TCE to inhibit chemokine-induced T cell mobility. Overexpression of PLA2G10 is broadly found in human cancers and is associated with poor T cell infiltration in tumor tissues. Secreted PLA2G10 in the blood is correlated with the resistance to anti-programmed cell death (PD) immunotherapy in lung cancer patients. Overexpression of PLA2G10 in immunogenic mouse tumors could exclude T cells leading to their resistance to anti-PD immunotherapy. PLA2G10 hydrolyzes phospholipids into small lipid metabolites that could mediate the inhibition of T cell mobility. Our results discover a functional antagonist of chemokines, a molecular mechanism underpinning T cell exclusion in human cancer, and implicate a potential target for cancer immunotherapy."
GSE209973,"Prediction of prognosis, immunogenicity and efficacy of immunotherapy based on glutamine metabolism in lung adenocarcinoma",Homo sapiens,6,2022/07/31,Expression profiling by high throughput sequencing,True,True,False,True,True,False,3,5242879,5.0,True,5242879,True,GSE209973_FPKM.xlsx;GSE209973_total_count.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Glutamine (Gln) metabolism has been reported to play an essential role in cancer. However, a comprehensive analysis of its role in lung adenocarcinoma is still unavailable. This study established a novel system of quantification of Gln metabolism to predict the prognosis and immunotherapy efficacy in lung cancer. Further, the Gln metabolism in tumor microenvironment (TME) was characterized and the Gln metabolism-related genes were identified for targeted therapy. We comprehensively evaluated the patterns of Gln metabolism in 513 patients diagnosed with lung adenocarcinoma (LUAD) based on 73 Gln metabolism-related genes. Based on differentially expressed genes (DEGs), a risk model was constructed using Cox regression and Lasso regression analysis. The prognostic efficacy of the model was validated using an individual LUAD cohort form Shandong Provincial Hospital, an integrated LUAD cohort from GEO and pan-cancer cohorts from TCGA databases. Five independent immunotherapy cohorts were used to validate the model performance in predicting immunotherapy efficacy. Next, a series of single-cell sequencing analyses were used to characterize Gln metabolism in TME. Finally, single-cell sequencing analysis, transcriptome sequencing, and a series of in vitro experiments were used to explore the role of EPHB2 in LUAD. Patients with LUAD were eventually divided into low- and high-risk groups. Patients in low-risk group were characterized by low levels of Gln metabolism, survival advantage, “hot” immune phenotype and benefit from immunotherapy. Compared with other cells, tumor cells in TME exhibited the most active Gln metabolism. Among immune cells, tumor-infiltrating T cells exhibited the most active levels of Gln metabolism, especially CD8 T cell exhaustion and Treg suppression. EPHB2, a key gene in the model, was shown to promote LUAD cell proliferation, invasion and migration, and regulated the Gln metabolic pathway. Finally, we found that EPHB2 was highly expressed in macrophages, especially M2 macrophages. It may be involved in the M2 polarization of macrophages and mediate the negative regulation of M2 macrophages in NK cells. This study revealed that the Gln metabolism-based model played a significant role in predicting prognosis and immunotherapy efficacy in lung cancer. We further characterized the Gln metabolism of TME and investigated the Gln metabolism-related gene EPHB2 to provide a theoretical framework for anti-tumor strategy targeting Gln metabolism."
GSE210516,RNAseq in lung cancer pneumospheres treated with PD-L1s,Homo sapiens,8,2022/09/14,Expression profiling by high throughput sequencing,True,True,False,True,False,False,3,32506636,31.0,True,780,True,GSE210516_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,We evaluated the differential expression of protein coding genes in NSCLC pneumospheres upon treatment  with PD-L1s
GSE210997,"T cell differentiation, lineage commitment and plasticity in cancer: a  multi-dimensional approach from the molecular mechanism to the patients",Homo sapiens,67,2022/08/14,Expression profiling by high throughput sequencing,True,False,False,True,False,False,2,3670016,3.5,True,3670016,True,GSE210997_gene_expression_matrix_hg19_ensembl_PLASTICITY_polyA_samples.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Cancer immunotherapy (including by checkpoint inhibitors) aims to “re-program” cells of the immune system, and most importantly CD8+ T lymphocytes, but also CD4+ T helper and regulatory cells, to reject tumors. Understanding this re-programing is both a major fundamental and translational research goal, relevant to the fundamental mechanisms of fate decision / lineage commitment, and to immunotherapy and vaccination in general. Differentiation is driven by gene expression programs that are themselves controlled epigenetically."
GSE211044,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk RNA-seq],Homo sapiens,51,2022/08/22,Expression profiling by high throughput sequencing,True,True,False,True,False,False,2,4089446,3.9,True,4089446,True,GSE211044_bulkRNAseq_counts.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies."
GSE211068,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scRNA-seq],Homo sapiens,9,2022/08/22,Expression profiling by high throughput sequencing,True,True,False,True,False,False,3,163578880,156.0,True,1024,True,GSE211068_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies."
GSE211087,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [scATAC-seq],Homo sapiens,8,2022/08/22,Genome binding/occupancy profiling by high throughput sequencing,True,True,False,False,False,False,3,8053066035,7680.0,True,2355,False,GSE211087_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies."
GSE211153,Integrated multiomics profiling identifies the differentiation program of regulatory T cells in human tumors [bulk ATAC-seq],Homo sapiens,46,2022/08/22,Genome binding/occupancy profiling by high throughput sequencing,True,True,False,False,False,False,19,2847932416,2716.0,True,7340032,False,GSE211153_ATL43T_bulkATAC.bw;GSE211153_HD_PBMC_eTconv_merged.bw;GSE211153_HD_PBMC_eTreg_merged.bw;GSE211153_HD_PBMC_effector_CD8posT_merged.bw;GSE211153_HD_PBMC_nTconv_merged.bw;GSE211153_HD_PBMC_nTreg_merged.bw;GSE211153_HD_PBMC_naive_CD8posT_merged.bw;GSE211153_HuT102_bulkATAC.bw;GSE211153_MJ_bulkATAC.bw;GSE211153_MT4_bulkATAC.bw;GSE211153_NSCLC_PBMC_eTconv_merged.bw;GSE211153_NSCLC_PBMC_eTreg_merged.bw;GSE211153_NSCLC_PBMC_effector_CD8posT_merged.bw;GSE211153_NSCLC_TIL_eTconv_merged.bw;GSE211153_NSCLC_TIL_eTreg_merged.bw;GSE211153_NSCLC_TIL_effector_CD8posT_merged.bw;GSE211153_bulkATACseq_counts.txt.gz;GSE211153_bulkATACseq_peak_lists.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Regulatory T (Treg) cells suppress effective antitumor immunity in tumor-bearing hosts, thereby becoming promising targets in cancer immunotherapy. Here, we show that Treg cells in the tumor microenvironment (TME) of human lung cancers harbor a completely different open chromatin profile compared to effector T cells and peripheral Treg cells. The integrative sequencing analyses revealed that BATF, IRF4, NF-κb, and NR4A were important transcription factors for Treg cell differentiation in the TME. Particularly, BATF was identified as a key regulator, which leveraged Treg cell differentiation through epigenetically controlling activation-associated gene expression, resulting in the robustness of Treg cells in the TME. BATF deficiency in Treg cells remarkably inhibited tumor growth and high BATF expression was associated with poor prognosis in lung cancer, kidney cancer, and melanoma. Our results propose the specific chromatin remodeling and differentiation program of Treg cells in the TME, which can be applied in the development of Treg cell-targeted therapies."
GSE211282,Rewiring Cancer Drivers to Activate Apoptosis,Homo sapiens; Mus musculus,85,2023/05/03,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,True,False,False,True,False,False,3,4831843942,4608.0,True,5734,False,GSE211282_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Genes that drive the proliferation, survival, invasion and metastasis of malignant cells have been identified for manyhuman cancers. Independent studies have identified cell death pathways that eliminate cells by an altruistic form of suicide. The coexistence of the cell death pathways with the driver mutations suggest that the cancer driver could be reprogrammedto activate cell death. We have invented a new class of molecules: TCIPs (Transcriptional/EpigeneticChemical 20Inducers of Proximity) that recruit the cancer driver, or a downstream transcription factor,to the promoters of cell death genesmthereby activating their expression. To develop this concept, we have focused on diffuse largeB cell lymphoma(DLBCL),in which BCL6 is amplified or mutated. BCL6 binds to the promoters of cell death genes and epigenetically suppresses their expression. We produced the first TCIPs by chemically linking BCL6 inhibitors with small molecule binders to transcriptional activators. Several of these molecules robustly kill DLBCL at single-digit nanomolar concentrations, including chemotherapy-resistant, TP53-mutant lines. The dominant gain-of-function approach provided by TCIPs allows access to therapeutic space unreachable to conventional small molecule inhibitors or degraders, RNAi,or CRISPR(i). TCIPs are relatively non-toxic to normal cells and selective in malignant cells, reflecting their need for coincident expression of both target proteins for effective killing. The later attribute should allow highly personalized treatment. The general TCIP concept has applications in elimination of senescent cells, enhancing expression of therapeutic genes, treatment of diseases produced by haploinsufficiency,and activation of immunogens for immunotherapy."
GSE212521,First-in-human study of the novel fibroblast activation protein-targeted 4-1BB agonist RO7122290 in patients with advanced solid tumors,Homo sapiens,34,2022/11/16,Expression profiling by high throughput sequencing,True,False,True,True,True,False,3,3774873,3.6,True,3774873,True,GSE212521_refseq_count.gct.gz;GSE212521_refseq_tpm.gct.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"This first-in-human (FIH) study evaluated RO7122290, a novel, bispecific fusion protein carrying a split trimeric 4-1BB (CD137) ligand and a fibroblast activation protein-α (FAP) binding site that effectively co-stimulates T cells for improved tumor cell killing in FAP-expressing tumors. Patients with advanced and/or metastatic solid tumors received escalating weekly intravenous doses of RO7122290 as a single agent (n = 65) or in combination with 120mg fixed dose of the anti-PD-L1 antibody atezolizumab given every 3 weeks (n = 50), across a tested RO7122290 dose range of 5 to 2000 mg and 45 to 2000 mg, respectively. Three dose-limiting toxicities (DLTs) were reported, two at different RO7122290 single-agent dose levels (grade 3 febrile neutropenia, grade 3 cytokine release syndrome) and one for the combination (grade 3 pneumonitis). No maximum tolerated dose (MTD) was identified. The pharmacokinetic (PK) profile of RO7122290 was typical of target-mediated drug disposition. The observed modulation of proximal and distal pharmacodynamic (PD) biomarkers is consistent with the postulated immune mode of action (MoA). Treatment-induced PD changes included an increase of proliferating and activated T cells in peripheral blood both in the single agent and combination arm. Furthermore, we observed an increased infiltration of intratumoral CD8+ and Ki67+CD8+ T cells for both treatment regimens, accompanied with the up-modulation of T cell activation genes and gene-signatures. Eleven patients experienced a complete or partial response, from which six were confirmed immune checkpoint inhibitor (CPI)-naive patients. Our results support continued evaluation of RO7122290 in combination with atezolizumab and other immuno-oncology agents."
GSE212622,Pulmonary parasite infection: do trypanosomes take your breath away?,Homo sapiens; Mus musculus,12,2022/10/25,Expression profiling by array,True,True,True,True,True,True,2,25600,0.0,True,25600,True,GSE212622_RawData_LungTryp_NS_MM_HOSTRESPONSE_V1.0.csv.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Approximately 20% of sleeping sickness patients exhibit respiratory complications which are commonly attributed to secondary bacterial infections, with an unknown role of the parasite. Using a Glossina morsitans tsetse fly initiated Trypansoma brucei infection in mice we found that parasites rapidly and permanently colonize the lungs, representing one of the major target organs next to the adipose tissue. Trypanosomes were found by immunofluorescence staining and scanning electron microscopy to occupy the extravascular spaces surrounding the blood vessels of the alveoli and bronchi. Parasites were even found in the lung cartilage. Trypanosomes were often observed as nests of multiplying parasites exhibiting close interactions with collagen and highly active secretion of extracellular vesicles that are engaged in intercellular communication. The local immune response was analysed by flow cytometry after 10 and 21 days of infection and was characterized by a substantial increase of CD11b+ Ly6C+ monocytes, CD11b+ Ly6C+ F4/80+ macrophages and CD11b+ CD11c+ dendritic cells. CD11b+ Ly6G+ neutrophils only accumulated prominently at the late infection time point. Interestingly, parasite presence resulted in a significant reduction of B220+ IgM+ B cells, CD11b+ CD11clo/- SiglecF+ eosinophils and TcR-β- NK1.1+ natural killer cells. Digital transcriptomics revealed infection-induced upregulation of Il-10, IFN-ɣ- and IFN-α-responses, IL-2-, IL-6- and TNF-signalling, a Th1 pro-inflammatory signature, negative immune checkpoint regulators and a predominant M1 macrophage polarization. Il12a and genes associated with complement and the B cell receptor were downregulated. No infection-associated pulmonary dysfunction could be detected by in vivo lung function measurements, mirroring the limited pulmonary complications during sleeping sickness. However, the substantial reduction of eosinophils, B cells and NK cells may render individuals more susceptible to opportunistic infections. Collectively, these observations provide essential insights in the peculiar parasite biology, immunological reactions and physiological function of a largely overlooked target organ which may trigger new diagnostic approaches for sleeping sickness."
GSE213590,FOS deficiency activates NRF2 signaling and CAF-mediated metabolic symbiosis to induce ferroptosis resistance in lung cancer initiation and brain metastasis,Homo sapiens,6,2023/09/20,Expression profiling by high throughput sequencing,True,True,True,True,False,True,2,331776,0.3,True,331776,True,GSE213590_Differentially_Expressed_Genes.xlsx;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Lung cancer brain metastasis (LCBM) is a leading cause of mortality in lung cancer patients, with a median survival of merely 4-6 months post-metastasis. Ferroptosis, an iron-dependent form of programmed cell death, has emerged as a key regulator of cancer metastasis, yet its role and underlying mechanisms in LCBM remain elusive. This study investigates the involvement of ferroptosis resistance and the transcription factor FOS in LCBM progression. Through single-cell RNA sequencing (scRNA-seq) and clinical sample validation, we identified prominent ferroptosis resistance in LCBM tissues, characterized by elevated expression of resistance markers (e.g., GPX4, SLC7A11) and reduced pro-ferroptotic factors (e.g., ACSL4, TFRC). Functional assays demonstrated that ferroptosis activation inhibits epithelial-mesenchymal transition (EMT) and LCBM both in vitro and in vivo. Notably, FOS expression was progressively downregulated from normal lung tissues to primary lung cancer and LCBM tissues, and FOS overexpression significantly suppressed ferroptosis resistance and brain metastasis. Mechanistically, FOS transcriptionally inhibits the NRF2-SLC3A2-GPX4 axis while promoting the SLC39A8-ACSF2 axis, thereby regulating iron and lipid metabolism to induce ferroptosis. Additionally, FOS overexpression disrupts aberrant crosstalk between lung cancer epithelial cells and cancer-associated fibroblasts (CAFs), blocking CAF-mediated extracellular matrix (ECM) remodeling and cancer cell PD-L1-driven immunosuppression. Notably, FOS overexpression also enhances cisplatin sensitivity in chemo-resistant lung cancer cells, reinforcing its therapeutic potential. Our findings reveal FOS as a critical regulator of ferroptosis and CAF function in LCBM, highlighting targeting FOS and ferroptosis as a novel therapeutic strategy to improve outcomes for lung cancer patients with brain metastasis."
GSE213902,The utility of circulating CX3CR1+ CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in patients with non-small cell lung cancer,Homo sapiens,6,2023/04/05,Expression profiling by high throughput sequencing; Other,True,True,True,True,True,True,9,42472448,40.5,True,42472448,True,GSE213902_MQpool1_barcodes.tsv.gz;GSE213902_MQpool1_features.tsv.gz;GSE213902_MQpool1_filtered_contig_annotations.csv.gz;GSE213902_MQpool1_matrix.mtx.gz;GSE213902_MQpool2_barcodes.tsv.gz;GSE213902_MQpool2_features.tsv.gz;GSE213902_MQpool2_filtered_contig_annotations.csv.gz;GSE213902_MQpool2_matrix.mtx.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"Lack of reliable predictive biomarkers is a major limitation of combination therapy with chemotherapy and anti-PD-1 therapy (chemo-immunotherapy). The increase of peripheral blood (PB) CD8+ T cells expressing CX3CR1, a marker of differentiation, correlates with response to anti-PD-1 therapy; however, the predictive and prognostic value of T-cell CX3CR1 expression during chemo-immunotherapy remains elusive. Here, we evaluated the utility of PB CX3CR1+CD8+ T cells as a predictive correlate of response to chemo-immunotherapy in non-small cell lung cancer (NSCLC) patients. At least 10% increase of the CX3CR1+ subset in circulating CD8+ T cells from baseline (CX3CR1 score) was associated with response to chemo-immunotherapy at 6 weeks (p = 0.0382) and 9 weeks (p = 0.0045). Sensitivity, specificity, positive and negative predictive value of at least 10% increase of the CX3CR1 score was 83.3%, 88.2%, 83.3% and 88.2%, respectively with 86.2% overall accuracy of predicting response at 9 weeks. Furthermore, at least 10% increase of the CX3CR1 score correlated with improved overall (p = 0.0105) and progression-free survival (p = 0.0265). Combined T-cell receptor (TCR) sequencing of tumor tissue and single-cell RNA/TCR sequencing of longitudinal PB samples from a patient who received a long-term benefit from chemo-immunotherapy demonstrated that circulating clonally expanded CD8+ T cells were terminal effector T cells expressing high levels of CX3CR1, and contained frequent tumor-infiltrating T-cell colonotypes early-on post treatment. Collectively, these findings suggest the potential utility of T-cell CX3CR1 expression as a dynamic blood-based biomarker during the course of chemo-immunotherapy and a marker to identify frequent tumor-infiltrating lymphocyte repertoires."
GSE214585,Targeting advanced prostate cancer with STEAP1 chimeric antigen receptor T cell and tumor-localized IL-12 immunotherapy,Homo sapiens; Mus musculus,40,2023/03/22,Expression profiling by high throughput sequencing,True,False,False,True,False,False,3,9648332,9.2,True,1433,True,GSE214585_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,This SuperSeries is composed of the SubSeries listed below.
GSE214992,SERPINB9 is commonly amplified and high expression in cancer cells correlates with poor immune checkpoint blockade response,Homo sapiens,50,2022/10/12,Expression profiling by high throughput sequencing,True,True,True,True,True,True,3,4508876,4.3,True,4508876,True,GSE214992_NSCLC_panel_readcounts.txt.gz;GSE214992_baseline_deseq_output_with_gene_annotation.txt.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"After exposing a panel of non-small cell lung cancer (NSCLC) cell lines to cytotoxic CD8+ T-cells, we found SERPINB9 to be the most differentially expressed gene between the cell lines most and least resistant to T-cell killing."
GSE216055,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications [slideseq]",Homo sapiens,3,2022/10/19,Expression profiling by high throughput sequencing,True,True,False,True,False,False,3,55575148,53.0,True,620,True,GSE216055_RAW.tar;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"We provide 5' and/or 3' single cell and single nuclei RNA sequencing data for matched comparisons of profiling from fresh (single cells) and frozen (single nuclei) samples of a non small cell lung cancer sample, a cutaneous melanoma sample , and a primary uveal melanoma sample. We also provide matched samples processed with published dissociation protocols (*TST and *CST) for two samples as comparison. Next, we profiled three sequential biopsies (one pre-treatment and two on-treatment) from the KEYNOTE-001 trial by 5' single-nuclei RNA sequencing from frozen specimens. For these three datapoints we provide matched SlideSeq V2 spatial transcriptomic data. Finally, we provide 5' single nuclei RNA-sequencing data for 7 liver-metastatic uveal melanoma samples profiled at pre, on, and post treatment timepoints with MEK-inhibitor selumetinib. For all samples profiled with 5' capture we also provide TCR receptor information. This study provides a framework for the application of single nuclei RNA-sequencing on clinical grade specimens, and demonstrates the feasibility of this approach to dissect the biology of archival specimens or rare diseases."
GSE216069,"Multi-modal single-cell and whole-genome sequencing of minute, frozen specimens to propel clinical applications [scRNA and snRNA]",Homo sapiens,71,2022/10/19,Expression profiling by high throughput sequencing; Other,True,True,False,True,False,False,17,3585777661,3419.7,True,3571097597,False,GSE216069_BI5_slyper_meta_data.csv.gz;GSE216069_BI5_slyper_processed_data.csv.gz;GSE216069_Mel_meta_data.csv.gz;GSE216069_Mel_processed_data.csv.gz;GSE216069_NR1_slyper_meta_data.csv.gz;GSE216069_NR1_slyper_processed_data.csv.gz;GSE216069_NSCLC_meta_data.csv.gz;GSE216069_NSCLC_processed_data.csv.gz;GSE216069_RAW.tar;GSE216069_UMEL_meta_data.csv.gz;GSE216069_UMEL_processed_data.csv.gz;GSE216069_UM_meta_data.csv.gz;GSE216069_UM_processed_data.csv.gz;GSE216069_ribas_meta_data.csv.gz;GSE216069_ribas_processed_data.csv.gz;filelist.txt;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,"We provide 5' and/or 3' single cell and single nuclei RNA sequencing data for matched comparisons of profiling from fresh (single cells) and frozen (single nuclei) samples of a non small cell lung cancer sample, a cutaneous melanoma sample , and a primary uveal melanoma sample. We also provide matched samples processed with published dissociation protocols (*TST and *CST) for two samples as comparison. Next, we profiled three sequential biopsies (one pre-treatment and two on-treatment) from the KEYNOTE-001 trial by 5' single-nuclei RNA sequencing from frozen specimens. For these three datapoints we provide matched SlideSeq V2 spatial transcriptomic data. Finally, we provide 5' single nuclei RNA-sequencing data for 7 liver-metastatic uveal melanoma samples profiled at pre, on, and post treatment timepoints with MEK-inhibitor selumetinib. For all samples profiled with 5' capture we also provide TCR receptor information. This study provides a framework for the application of single nuclei RNA-sequencing on clinical grade specimens, and demonstrates the feasibility of this approach to dissect the biology of archival specimens or rare diseases."
GSE216297,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,Homo sapiens,286,2023/07/10,Expression profiling by high throughput sequencing,True,True,True,True,True,True,2,1677721,1.6,True,1677721,True,GSE216297_TEP_Count_Matrix.RData.gz;https://www.hhs.gov/vulnerability-disclosure-policy/index.html,,We report RNA-sequencing data of 286 platelet RNA samples isolated from non-small cell lung cancer patients (NSCLC) that were at baseline for nivolumab immunotherapy. This dataset was employed to test the hypothesis that platelet RNA at baseline of nivolumab treatment predicts immune responses.
