accession	title	taxon	gdstype	n_samples	pdat	suppfile	queries	summary
GSE277929	Transcriptional repression by HDAC3 mediates T cell exclusion from Kras mutant lung tumors [KL GEMM Treated Primary Tumors RNA-seq]	Mus musculus		35			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Histone Deacetylase 3 (HDAC3) function in vivo is nuanced and directed in a tissue specific fashion.  The importance of HDAC3 in Kras mutant lung tumors has recently been identified, but HDAC3 function in this context remains to be fully elucidated.  Here, we identified HDAC3 as a lung tumor cell-intrinsic transcriptional regulator of the tumor immune microenvironment.  In Kras mutant lung cancer cells, we found that HDAC3 is a direct transcriptional repressor of a cassette of secreted chemokines, including Cxcl10.  Genetic and pharmacological inhibition of HDAC3 robustly upregulated this gene set in human and mouse Kras, LKB1 (KL) and Kras, p53 (KP) mutant lung cancer cells through an NF-kB/p65-dependent mechanism.  Using genetic engineered mouse models, we found that HDAC3 inactivation in vivo induced expression of this gene set selectively in lung tumors, and resulted in enhanced T-cell recruitment at least in part via Cxcl10.  Furthermore, we found that inhibition of HDAC3 in the presence of Kras pathway inhibitors dissociated Cxcl10 expression from that of immunosuppressive chemokines, and that combination treatment of entinostat with trametinib enhanced T-cell recruitment into lung tumors in vivo.  Finally, we showed that T-cells contribute to in vivo tumor growth control in the presence of entinostat and trametinib combination treatment.  Together, our findings reveal that HDAC3 is a druggable endogenous repressor of T-cell recruitment into Kras mutant lung tumors.
GSE278235	Gene expression profiling of murine SCLC tumor subpopulations with high and low autophagic flux	Mus musculus		4			Tacstd2 AND lung	Small cell lung cancer (SCLC) is characterized by significant heterogeneity and plasticity, driving its aggressive progression and resistance to therapy. Understanding the underlying mechanisms of these features is crucial for improving treatment outcomes. Autophagy, a conserved cellular process, is involved in many cancers, but its role in SCLC remains unclear. Using a genetically engineered mouse model (Rb1fl/fl;Trp53fl/fl;GFP-LC3-RFP-LC3△G), we tracked autophagic flux in vivo to assess its effects on SCLC biology. Tumor subpopulations with high autophagic flux exhibited increased proliferation, enhanced metastatic potential, and neuroendocrine (NE) characteristics, whereas subpopulations with low autophagic flux exhibited more immune-related signals and non-NE traits.
GSE279200	Basal cell of origin resolves neuroendocrine-tuft lineage plasticity in cancer [Single cell RNA-seq]	Mus musculus		14			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	Neuroendocrine and tuft cells are rare, chemosensory epithelial lineages defined by expression of ASCL1 and POU2F3 transcription factors, respectively. Neuroendocrine cancers, including small cell lung cancer (SCLC), frequently display tuft-like subsets, a feature linked to poor patient outcomes. The mechanisms driving neuroendocrine–tuft tumour heterogeneity, and the origins of tuft-like cancers are unknown. Using multiple genetically-engineered animal models of SCLC, we demonstrate that a basal cell of origin (but not the accepted neuroendocrine origin) generates neuroendocrine–tuft-like tumours that highly recapitulate human SCLC. Single-cell clonal analyses of basal-derived SCLC further uncovers unexpected transcriptional states and lineage trajectories underlying neuroendocrine–tuft plasticity. Uniquely in basal cells, introduction of genetic alterations enriched in human tuft-like SCLC, including high MYC, PTEN loss, and ASCL1 suppression, cooperate to promote tuft-like tumours. Transcriptomics of 944 human SCLCs reveal a basal-like subset and a tuft-ionocyte-like state that altogether demonstrate remarkable conservation between cancer states and normal basal cell injury response mechanisms. Together, these data suggest that the basal cell is a plausible origin for SCLC and other neuroendocrine-tuft cancers that can explain neuroendocrine–tuft heterogeneity—offering new insights for targeting lineage plasticity.
GSE280263	Actin Dysregulation Induces Neuroendocrine 1 Plasticity and 2 Immune Evasion: A Vulnerability of Small Cell Lung Cancer	Mus musculus		2			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung | small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy) | KPB25L OR KP7B OR ""KP cell line"" AND lung"	Small cell lung cancer (SCLC) is aggressive with limited therapeutic options. Despite recent advances in targeted therapies and immunotherapies, therapy resistance is a recurring issue, which might be partly due to tumor cell plasticity, a change in cell fate. Nonetheless, the mechanisms underlying tumor cell plasticity and immune evasion in SCLC remain elusive. CRACD, a capping protein inhibitor that promotes actin polymerization, is frequently inactivated in SCLC. Cracd knockout (KO) transforms preneoplastic cells into SCLC tumor-like cells and promotes in vivo SCLC development driven by Rb1, Trp53, and Rbl2 triple KO. Cracd KO induces neuroendocrine (NE) plasticity and increases tumor cell heterogeneity of SCLC tumor cells via regulated NOTCH1 signaling by actin cytoskeleton disruption. CRACD depletion also reduces nuclear actin and induces EZH2-mediated H3K27 methylation. This nuclear event suppresses the MHC-I genes and thereby depletes intratumoral CD8+ T cells for accelerated SCLC tumorigenesis. Pharmacological blockade of EZH2 inhibits CRACD-negative SCLC tumorigenesis by restoring MHC-I expression and immune surveillance. Unsupervised single-cell transcriptomics identifies SCLC patient tumors with concomitant inactivation of CRACD and downregulated MHC-I pathway. This study defines CRACD, an actin regulator, as a tumor suppressor that limits cell plasticity and immune evasion and proposes EZH2 blockade as a viable therapeutic option for CRACD-negative SCLC.
GSE280512	Modulation of tumor drug sensitivity and inflammatory signaling through CMTM4	Mus musculus		6			EGFR AND lung AND mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Although the association between inflammation and cancer development has been recognized, how inflammation affects the outcomes of immunotherapy and chemotherapy hasn’t yet been well evaluated. In this study, we found that CKLF-like MARVEL transmembrane domain-containing member 4 (CMTM4) was highly expressed in multiple human and murine cancers. Loss of CMTM4 significantly reduced tumor growth and impaired NFB, mTOR, PI3K/Akt pathway activation. Interestingly, we found that CMTM4 can regulate epidermal growth factor (EGF) signaling post-translationally by promoting EGFR recycling and preventing its degradation through Rab proteins. Consequentially, CMTM4 knockout promoted response sensitivity of human tumor cells to EGFR inhibitors. Importantly, CMTM4 knockout tumors stimulated with EGF significantly decreased their production of inflammatory cytokines including G-CSF, leading to decreased recruitment of polymorphonuclear myeloid-derived suppressor cells and thus, a less suppressive tumor-immune-environment. Therapeutically, siRNA-liposome targeting CMTM4 reduced tumor growth in vivo and prolonged animal survival. Furthermore, CMTM4 knockout enhance immune checkpoint blockade or chemotherapy to reduce tumor growth. These data suggest that CMTM4 represents a novel target to inhibit tumor inflammation and improve immune response and drug sensitivity.
GSE280717	Gene expression profile at single cell level of mouse lung cancer cell-line tumors grown subcutaneously in adult male C57BL/6 mice with and without high-fat diet-induced obesity	Mus musculus		1			CMT167	Obesity affects the progress of lung cancer. To understand this more, we performed single-cell RNA sequencing of dissociated tumors of four mouse lung cancer cell-lines grown subcutaneously in adult male C57BL/6 mice with and without high-fat diet-induced obesity.
GSE281159	Tumor cell-specific Gpx4 deficiency reshaps tumor microenvironment and promotes NSCLC progression.	Mus musculus		2			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Knockout or inhibition of glutathione peroxidase 4 (GPX4) induces ferroptosis which has been proposed as a potential therapeutic strategy for cancer. Here we unexpectedly found that inducible knockout of GPX4 in tumor cells significantly promotes non-small cell lung cancer (NSCLC) progression in the autochthonous KrasLSL-G12D/+Lkb1fl/fl (KL) and KrasLSL-G12D/+Tp53fl/fl (KP) mouse models, whereas inducible overexpression of GPX4 in tumor cells had an opposite effect. Mechanistically, knockout of GPX4 in tumor cells results in the accumulation of triacylglycerol (TAG) that was stored in lipid droplets in tumor cells and the efflux of TAG that induces ferroptosis of macrophages in the tumor microenvironment (TME), thereby igniting an immunoinhibitory TME characterized by the dysfunction of anti-tumor T cells and the decrease of antigen-presenting macrophages. Consistently, treatment with liprostatin-1 or inducible overexpression of GPX4 in tumor cells significantly rescues the ferroptosis of macrophages and ignites the activation of T cells in the TME, thereby inhibiting NSCLC progression. These findings highlight a previously uncharacterized role of tumor cell-specific GPX4 in NSCLC progression by modulating TAG metabolism in the TME  and provide potential therapeutic strategies for NSCLC.
GSE281349	RNA sensing induced by chromosome missegregation augments anti-tumor immunity III	Mus musculus		12			344P OR 393P OR 531LN2	We demonstrate that dsRNA is significantly accumulated in cancer cells following pharmacologic induction of micronuclei, stimulating MAVS-mediated dsRNA sensing in conjunction with the cGAS/STING pathway. Activation of cytosolic dsRNA sensing co-operates with dsDNA sensing to up-regulate immune cell migration and antigen-presenting machinery. Tracing of dsRNA-sequence identity revealed that dsRNA-forming transcripts are predominantly generated from non-exonic regions, particularly in locations proximal to genes exhibiting high chromatin accessibility. Activation of this pathway by pulsed Monopolar Spindle 1 (MPS1) kinase inhibitor therapy, which potently induces micronuclei formation, thus induces cytoplasmic dsRNA-sensing and promotes anti-tumor immunity mediated by type I interferon signaling and cytotoxic lymphocyte activation in vivo. Taken together, these findings reveal a novel aspect of the dsRNA-sensing pathway in enhancing the anti-tumor efficacy of drugs that promote genomic instability and micronuclei formation, facilitating cancer immunogenicity.
GSE282025	Single-cell RNA sequencing analysis of lung tissue from Tubb3-/- mice in a bleomycin-induced pulmonary fibrosis model	Mus musculus		4			Tacstd2 AND lung	Whole lung cells and mural cell-enriched mesenchymal cells were isolated by cell sorting from Tubb3-/- mice and their wild-type (WT) littermates 14 days after bleomycin administration, followed by single-cell RNA sequencing analysis.
GSE282715	ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lung cancer	Mus musculus		2			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune check point blockade. To elaborate molecular mechanisms that mediate SCLC immune cell evasion we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune cell evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho tyrosine kinase analysis we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING dependent manner. Finally, we demonstrate that ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment efficacy by combining ERBB2 with anti-PD-1 targeted treatment that elicits profound responses in preclinical SCLC models suggesting this combination for future clinical trials in patients with SCLC.
GSE282849	Cholesterol mobilization regulates dendritic cell maturation and the immunogenic response to cancer	Mus musculus		3			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Maturation of conventional dendritic cells (cDCs) is crucial for maintaining tolerogenic safeguards against auto-immunity and for promoting immunogenic responses to pathogens and cancer. The subcellular mechanism for cDC maturation remains poorly defined. We show that cDCs mature by leveraging an internal reservoir of cholesterol – generated by de novo synthesis and recycled from extracellular cell debris – to assemble lipid nanodomains on cell surfaces of maturing cDCs, enhance expression of maturation markers, and stabilize immune receptor signaling. This process is dependent on cholesterol transport through Niemann-Pick disease type C1 (NPC1) and mediates homeostatic and TLR-induced maturation. Importantly, we identified the receptor tyrosine kinase AXL as a regulator of the NPC1-dependent construction of lipid nanodomains. Deleting AXL from cDCs enhances their maturation, thus improving antitumor immunity. Altogether, our study presents novel insights into cholesterol mobilization as a fundamental basis for cDC maturation and highlights AXL as a therapeutic target for modulating cDCs.
GSE283573	ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lung cancer	Mus musculus		6			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune check point blockade. To elaborate molecular mechanisms that mediate SCLC immune cell evasion we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune cell evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho tyrosine kinase analysis we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING dependent manner. Finally, we demonstrate that ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment efficacy by combining ERBB2 with anti-PD-1 targeted treatment that elicits profound responses in preclinical SCLC models suggesting this combination for future clinical trials in patients with SCLC.
GSE283827	ERBB2 signaling drives immune cell evasion and resistance against immunotherapy in small cell lung cancer [scRNA-Seq]	Mus musculus		5			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung | small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)"	Small cell lung cancer (SCLC) represents ~15% of all lung cancers and is characterized by its highly aggressive phenotype and its dismal outcome. Though the addition of immune checkpoint blockade to carboplatin and etoposide treatment has improved outcome in SCLC patients, SCLC cells finally acquire the ability to evade immunosurveillance and resistance against immune check point blockade. To elaborate molecular mechanisms that mediate SCLC immune cell evasion we performed high dimensional profiling of human and murine SCLC specimens. We herein comprehensively analyzed matched human samples of primary and metastatic SCLC and found a loss of MHC-I in SCLC metastases indicating that MHC-I loss mediates SCLC immune cell evasion. Silencing MHC-I in SCLC cells drastically diminished immune cell infiltration and facilitated the formation of metastasis in mice by circumventing immune surveillance. Using mass spectrometry and phospho tyrosine kinase analysis we discovered that ERBB2 signaling suppresses MHC-I expression in SCLC cells and stimulates immune modulating transcripts. Mechanistically, genetic and/or pharmacologic blockade of the ERBB2 signaling axis was sufficient to induce MHC-I expression and to prevent immune evasion in autochthonous murine SCLC in a STING dependent manner. Finally, we demonstrate that ERBB2 signaling axis regulates MHC-I expression on SCLC cells and is critical in maintaining immune evasion in SCLC. Most strikingly, we here uncover synergistic treatment efficacy by combining ERBB2 with anti-PD-1 targeted treatment that elicits profound responses in preclinical SCLC models suggesting this combination for future clinical trials in patients with SCLC.
GSE283937	A high MAPK, low WNT cell state drives metastatic dissemination in colorectal cancer	Mus musculus		49			Tacstd2 AND lung	This SuperSeries is composed of the SubSeries listed below.
GSE284443	L1CAM generates SOX2+ metastatic progenitors through planar cell polarity signaling in lung adenocarcinoma	Homo sapiens; Mus musculus		6			"KPB25L OR KP7B OR ""KP cell line"" AND lung"	Lung adenocarcinoma (LUAD) is a leading cause of cancer-related deaths worldwide, with most fatalities attributed to metastasis. A primitive SOX2+ progenitor state, rare in primary tumors, becomes prominent in LUAD metastatic lesions and exhibits metastasis-initiating capacity. The signals that determine the emergence of SOX2+ progenitors are unknown. We report that the cell adhesion molecule L1CAM, a marker of metastasis-initiating regenerative progenitors, plays a crucial role in the emergence of LUAD SOX2+ progenitors. Mechanistically, L1CAM induces the planar cell polarity (PCP) complex to activate c-Jun, which in turn interacts with the chromodomain helicase CHD1 to drive Sox2 transcription and generate metastasis-initiating regenerative progenitors. Treatment with an L1CAM antibody drug conjugate (ADC) effectively eliminates these LUAD cells and eradicates patient-derived xenograft metastases. Our findings identify L1CAM/PCP signaling as a driver of the SOX2+ LUAD metastatic progenitor state and provide an approach to treating metastasis by targeting L1CAM+ LUAD progenitors.
GSE284648	Upregulation of E-cadherin Promotes Spheroid Formation in Crizotinib-Resistant ALK-rearranged Lung Cancer	Homo sapiens		9			Tacstd2 AND lung	The anaplastic lymphoma kinase (ALK) gene fusion functions as a potent oncogene in lung cancer. The development of ALK tyrosine kinase inhibitors has improved patient outcomes. However, cancer progression commonly occurs even after treatment. Chemoresistance arises mostly by the acquisition of gatekeeper mutations in ALK as well as by off-target bypass mechanisms arising during chemotherapy. To investigate these bypass mechanisms, we studied crizotinib resistance in ALK-rearranged lung cancer by using 2D and 3D cell line models and longitudinal human biopsy samples. We found that crizotinib-resistant H2228 cells exhibited increased tumor cell clustering and spheroid formation, with elevated E-cadherin levels. Notably, depletion of E-cadherin profoundly disrupted spheroid formation and restored drug sensitivity. Transcriptomic profiling revealed the upregulation of tissue morphology-related genes; in particular, EpCAM was highly expressed in the protrusive regions of spheroids. Remarkably, longitudinal biopsy analysis also demonstrated enhanced expression of E-cadherin and EpCAM in patients with ALK-rearranged lung cancer during chemotherapy. We propose that off-target resistance is mediated by the upregulation of morphogenic genes, which drive cell clustering and spheroid formation during tumor evolution. To overcome chemoresistance, it is crucial to monitor tumor evolution during treatment. Tracking the collective migration of cells may present a novel therapeutic target.
GSE284713	Pulmonary fibroblast activation during Aspergillus fumigatus infection enhances lung defense via immunomodulation and tissue remodeling [scRNA-seq]	Mus musculus		4			Tacstd2 AND lung	Aspergillus fumigatus is the etiologic agent of invasive aspergillosis, a life-threatening fungal pneumonia that is initiated by the inhalation of conidia (spores) into the lung. If the conidia are not cleared, they secrete large quantities of hydrolytic enzymes and toxins as they grow, resulting in extensive damage to pulmonary tissue. Stromal fibroblasts are central responders to tissue damage in many organs, but their functional response to pulmonary injury caused by A. fumigatus has not been explored. In this study, we employed cell lineage tracing, targeted cell ablation, and single-cell RNA sequencing to monitor the dynamics of fibroblast behavior upon exposure to A. fumigatus in both immunocompetent and immunosuppressed hosts. The results demonstrate that a subset of pulmonary fibroblasts becomes activated in an immunocompetent host in response to a challenge with A. fumigatus conidia, acquiring a gene expression program reflecting the acquisition of new immunomodulatory properties as well as enhanced extracellular matrix (ECM)-secreting ability. Remarkably, through targeted ablation of fibroblasts that express the profibrotic activation marker periostin, we demonstrate that the progression of an invasive A. fumigatus infection in an immunosuppressed host is accelerated by the absence of periostin lineage cells and is accompanied by severe alveolar hemorrhage and angioinvasion. These findings uncover a novel protective role for fibroblasts in limiting the severity of A. fumigatus-induced pulmonary injury and emphasize the importance of the pulmonary stroma in host defense against this invasive fungal infection.
GSE285215	Cancer cells avoid ferroptosis induced by immune cells via fatty acid binding proteins	Mus musculus		12			344SQ	Cancer creates an immunosuppressive environment that hampers immune responses, allowing tumors to grow and resist therapy. One way the immune system fights back is by inducing ferroptosis, a type of cell death, in tumor cells through CD8+ T cells. This involves lipid peroxidation and enzymes like lysophosphatidylcholine acyltransferase 3 (Lpcat3), which makes cells more prone to ferroptosis. However, the mechanisms by which cancer cells avoid immunotherapy-mediated ferroptosis are unclear. Our study reveals how cancer cells evade ferroptosis and anti-tumor immunity through the upregulation of fatty acid-binding protein 7 (Fabp7).    Methods  To explore how cancer cells resist immune cell-mediated ferroptosis, we used a comprehensive range of techniques. We worked with cell lines including PD1-sensitive, PD1-resistant, B16F10, and QPP7 glioblastoma cells, and conducted in vivo studies in syngeneic 129 Sv/Ev, C57BL/6, and conditional knockout mice with Rora deletion specifically in CD8+ T cells, Cd8 cre;Rorafl mice. Methods included mass spectrometry-based lipidomics, targeted lipidomics, Oil Red O staining, Seahorse analysis, quantitative PCR, immunohistochemistry, PPARγ transcription factor assays, ChIP-seq, untargeted lipidomic analysis, ROS assay, ex vivo co-culture of CD8+ T cells with cancer cells, ATAC-seq, RNA-seq, Western blotting, co-immunoprecipitation assay, flow cytometry and Imaging Mass Cytometry.    Results  PD1-resistant tumors upregulate Fabp7, driving protective metabolic changes that shield cells from ferroptosis and evade anti-tumor immunity. Fabp7 decreases the transcription of ferroptosis-inducing genes like Lpcat3 and increases the transcription of ferroptosis-protective genes such as Bmal1 through epigenetic reprogramming. Lipidomic profiling revealed that Fabp7 increases triglycerides and monounsaturated fatty acids (MUFAs), which impede lipid peroxidation and ROS generation. Fabp7 also improves mitochondrial function and fatty acid oxidation (FAO), enhancing cancer cell survival. Furthermore, cancer cells increase Fabp7 expression in CD8+ T cells, disrupting circadian clock gene expression and triggering apoptosis through p53 stabilization. Clinical trial data revealed that higher FABP7 expression correlates with poorer overall survival and progression-free survival in patients undergoing immunotherapy.    Conclusions  Our study uncovers a novel mechanism by which cancer cells evade immune-mediated ferroptosis through Fabp7 upregulation. This protein reprograms lipid metabolism and disrupts circadian regulation in immune cells, promoting tumor survival and resistance to immunotherapy. Targeting Fabp7 could enhance immunotherapy effectiveness by re-sensitizing resistant tumors to ferroptosis.
GSE285606	Loss of miR-29a/b1 cluster reprograms the tumor microenvironment and contributes to immunosuppression in lung cancer	Mus musculus		4			344SQ | lung adenocarcinoma mouse AND immune checkpoint AND single cell	Immune checkpoint inhibitors (ICI), like those that block PD-1/PD-L1, have revolutionized oncological therapy for patients with non-small cell lung cancer (NSCLC). However, most patients demonstrate no clinical benefit or acquire resistance, even in PD-L1+ populations, highlighting the critical need to dissect tumor survival dependencies to overcome resistance. Using our unique Kras/p53-driven lung cancer models which demonstrate acquired or intrinsic resistance to ICI, we performed single cell RNA-sequencing and focused on predicted upstream regulators of differentially expressed genes (DEGs) in the malignant cell cluster of resistant tumors. We found that the micro-RNA, miR-29, was downregulated in tumors with anti-PD-1 resistance, leading to significant upregulation of a multitude of miR-29 targets. Interestingly, we found that the immunosuppressive molecule Enpp2/ATX was one of these genes modulated due to miR-29 loss, and re-expression of miR-29 in anti-PD-1 resistant models diminished ATX tumor expression, diminished the fibrotic microenvironment, and increased CD8 infiltration. Additionally, analysis of lung adenocarcinoma patients revealed miR-29-high patients had increased CD8A expression and enrichment in immunoregulatory pathways. Together, these data provide evidence that the miR-29 family broadly regulates the tumor microenvironment, including anti-tumor immune-related pathways in lung cancer, through control of ATX among many other target genes, with implications in ICI response.
GSE285880	Fibroblast orchestration of inflammaging via NF-kB activation (Lung Resident CD45+ cell and fibroblast analysis)	Mus musculus		24			Tacstd2 AND lung	In this study we used scRNA-sequencing to compare lung resident CD45+ cells and bulk RNA-sequencing to compare lung PDGFRa+ fibroblasts from 2-month-old mice in which the NF-kB inhibitor Tnfaip3 has been deleted from fibroblasts (D1cA20) with control mice (A20control). We identified enrichment of Gzmk+CD8+ T cells in the D1cA20 relative to control mice. As a follow-up to this initial study we used bulk RNA sequencing to compare the transcriptomes of lung adventitial fibroblasts from 4-month C57BL/6 (Young B6), 21-month C57BL/6 (Aged B6), 4-month Tnfaip3 f/f (Tnfaip3 Control) and 4-month Dermo1-cre;Tnfaip3f/f (Tnfaip3 CKO/D1cA20) mice. We identified that aged B6 adventitial fibroblasts share transcriptional similarity with those from young Tnfaip3 CKO mice. Pathway analysis revealed NF-kB to be significantly upregulated in both Aged B6 and Tnfaip3 CKO relative to Young B6 or Tnfaip3 control.
GSE286458	MAX inactivation deregulates the MYC network and induces neuroendocrine neoplasia in multiple tissues [ChIP-seq]	Mus musculus		57			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The MYC transcription factor requires MAX for DNA binding and widespread activation of gene expression in both normal and neoplastic cells. Surprisingly, inactivating mutations in MAX are associated with a subset of neuroendocrine cancers including pheochromocytoma, pituitary adenoma and small cell lung cancer. Neither the extent nor the mechanisms of MAX tumor suppression are well understood. Deleting Max across multiple mouse neuroendocrine tissues, we find Max inactivation alone produces pituitary adenomas while Max inactivation loss cooperates with Rb1/Trp53 loss to accelerate medullary thyroid C-cell and pituitary adenoma development. In the thyroid tumor cell lines, MAX loss triggers a striking shift in genomic occupancy by other members of the MYC network (MNT, MLX, MondoA) supporting metabolism, survival and proliferation of neoplastic neuroendocrine cells. Our work reveals MAX as a broad suppressor of neuroendocrine tumorigenesis through its ability to maintain a balance of genomic occupancies among the diverse transcription factors in the MYC network.
GSE286461	MAX inactivation deregulates the MYC network and induces neuroendocrine neoplasia in multiple tissues [RNA-seq]	Mus musculus		46			"(RPM OR RPP OR ""Rb1 Trp53"") AND small cell lung"	The MYC transcription factor requires MAX for DNA binding and widespread activation of gene expression in both normal and neoplastic cells. Surprisingly, inactivating mutations in MAX are associated with a subset of neuroendocrine cancers including pheochromocytoma, pituitary adenoma and small cell lung cancer. Neither the extent nor the mechanisms of MAX tumor suppression are well understood. Deleting Max across multiple mouse neuroendocrine tissues, we find Max inactivation alone produces pituitary adenomas while Max inactivation loss cooperates with Rb1/Trp53 loss to accelerate medullary thyroid C-cell and pituitary adenoma development. In the thyroid tumor cell lines, MAX loss triggers a striking shift in genomic occupancy by other members of the MYC network (MNT, MLX, MondoA) supporting metabolism, survival and proliferation of neoplastic neuroendocrine cells. Our work reveals MAX as a broad suppressor of neuroendocrine tumorigenesis through its ability to maintain a balance of genomic occupancies among the diverse transcription factors in the MYC network.
GSE286988	Fibroblast orchestration of inflammaging via NF-kB activation (Aged vs Young Lung Fibroblasts and Epithelium)	Mus musculus		2			Tacstd2 AND lung	In this study we used scRNA sequencing to compare lung fibroblast and epithelial populations from young and aged mice. We identified enrichment of a NF-kB activation signature in aged relative to young fibroblasts, particularly in the adventitial population.
GSE287209	A human organoid model of alveolar regeneration reveals distinct epithelial responses to interferon-gamma	Homo sapiens		3			Tacstd2 AND lung	Chronic obstructive pulmonary disease (COPD) is characterized by inflammation and emphysema, leading to progressive alveolar destruction. Currently, no therapies effectively regenerate the alveolar epithelium. Here, we developed and characterized a feeder- and serum-free primary adult human organoid model to investigate how inflammatory conditions influence alveolar regeneration. Using Wnt activation and heregulin-β, we achieved long-term expansion of progenitor cells, while AT2 maturation protocols enhanced surfactant production, including the formation of tubular myelin. Introducing a LATS inhibitor to the expansion conditions induced an AT1 differentiation program without eliminating AT2 cells. Single-cell RNA-sequencing revealed multipotent progenitor-like populations, reflecting a state of heightened plasticity associated with regeneration. To model the effects of inflammation, we exposed these organoids to cytokines elevated in COPD. Notably, interferon-gamma (IFN-γ) exerted distinct effects on AT1 and AT2 cells: while it was cytotoxic to AT1 cells, it promoted growth in regenerating AT2 cells in a dose- and time-dependent manner. These findings underscore the nuanced influence of pro-inflammatory cytokines on alveolar regeneration. Our organoid model provides a reductionist platform for mechanistic studies in human cells, aiming to identify therapies that prevent alveolar destruction and improve alveolar regeneration in COPD
GSE287964	A blood-brain barrier-like vascular gate limits immunotherapy efficacy in neuroendocrine cancers	Mus musculus		12			small cell lung cancer mouse AND (PD-1 OR PD-L1 OR immunotherapy)	Small cell lung cancer (SCLC), a highly aggressive neuroendocrine malignancy, is among the most immune-desert tumor types and exhibits poor response to immunotherapy. However, the mechanisms underlying this immune resistance remain unclear. Here, we identify a unique immune-excluding vascular (IEV) barrier in SCLC, distinct from non-small cell lung cancer (NSCLC) and other cancers, composed of tightly connected endothelial cells, a thickened basement membrane, and dense pericyte coverage. Functionally, this barrier restricts immune cell infiltration, contributing to SCLC’s immunotherapy resistance. Mechanistically, we show that ASCL1, the master transcription factor of SCLC, is essential for IEV barrier formation. ASCL1 drives expression of insulin-like growth factor-binding protein 5 (IGFBP5), and depletion of IGFBP5 in tumor cells reduces IGF1 signaling in endothelial cells. Endothelial-specific disruption of IGF1R impairs barrier integrity. Importantly, targeting this axis either through IGFBP5 knockout or treatment with the IGF1R inhibitor OSI-906 enhances CD8+ T cell infiltration and synergizes with anti-PD1 therapy in SCLC. Furthermore, we demonstrate that this ASCL1-IGFBP5-IGF1R axis and the IEV barrier are conserved across multiple neuroendocrine cancers (NECs). Our findings reveal a previously unrecognized vascular barrier in NECs and propose novel therapeutic strategies to overcome immune exclusion and enhance immunotherapy efficacy in these recalcitrant cancers.
