accession	n_samples	ici_any	ici_in_sample_metadata	models	llc_only	in_vivo	strategies	gds_summary_type	suppfile	pubmed	series_title	design
GSE228965	5	False	False		False	True	RNA-Seq				Phosphorylated nuclear DICER1 promotes open chromatin state and gastric cell fate in lung adenocarcinomas [scRNA-seq]	scRNA-sequencing of lung tumors from KrasLA1/+ and KrasLA1/+;DicerS2D/+ mice. scRNA-Seq was performed to study and compare tumor cell population between both mice genotype.
GSE228966	9	False	False		False	True					Phosphorylated nuclear DICER1 promotes open chromatin state and gastric cell fate in lung adenocarcinomas [Nanostring]	For miRNA expression assay, lung tumors from KrasLA1/+;Dicer1S2D/+ mice (n=5) were compared to lung tumors from Kras LA1/+ mice (n=4). KrasLA1 mouse model have an oncogenic Kras G12D mutation. And KrasLA1/+;Dicer1S2D/+ have a heterozygous phosphomimetic Dicer1 in where serienes 1712 and 1836 were replaced to aspartic acid, in a heterozygous Kras LA1 oncogenic background. For this experiment, 30 to
GSE228968	18	False	False		False	True	ATAC-seq,RNA-Seq				Phosphorylated nuclear DICER1 promotes open chromatin state and gastric cell fate in lung adenocarcinomas	Refer to individual Series
GSE228999	18	False	False		False	True	RNA-Seq			37831068	RNF185 control of COL3A1 expression impacts prostate cancer migration and metastatic potential	Gene expression comparison of RNF185 KD and control in MPC3 cell line using RNA-seq.
GSE229622	6	False	False		False	False	RNA-Seq			37327877	Effect of intranasal vaccination on transcriptome of mouse lung immune cells	Isolate CD45.2+7-AAD- live lung cells from vaccinated BALB/c mice, then preform single cell RNA and TCR sequening (10x genomics).
GSE229982	2	False	False		False	False	RNA-Seq			38796854	Gene expression profiles at single cell level of lung epithelial cells from the Cracd WT and Cracd KO mice	Lungs were harvested from euthanized mice (Cracd WT or Cracd KO) after perfusing 10 ml of cold phosphate-buffered saline (PBS) into the right ventricle. The lung was digested in Leibovitz’s medium (Invitrogen) with 2 mg/mL Collagenase Type I (Worthington), 2 mg/mL Elastase (Worthington), and 2 mg/mL DNase I (Worthington) at 37 °C for 45 min. The tissue was triturated with a pipet every 15 min of d
GSE230334	12	False	False		False	False	RNA-Seq			39181129,41049046	Context-Dependent Roles of Mitochondrial LONP1 in Orchestrating the Balance between Airway Progenitor versus Progeny Cells	Bulk RNA-seq from embryonic lungs at E13.5, including 3 controls and 4 Shhcre;Lonp1 mutants. Single cell RNA-seq from purified adult airway epithelial cells of control and Sox2creER;Lonp1;tdTomato. scRNA-seq from control (PBS) and influenza infected lungs at D11 and D20.
GSE230868	6	True	False	SCLC_GEMM	False	False				38749447	Expression of the membrane tetraspanin claudin 18 on cancer cells promotes T lymphocyte infiltration and antitumor immunity in pancreatic cancer	Three biological replicates of FC1199-OVA and FC1242-OVA KPC-derived cell lines infected with ovalbumin and GFP-econding lentivirus
GSE231218	12	False	False		False	False	RNA-Seq			37615937	Trained immunity of alveolar macrophages promotes injury resolution by enhancing KLF4-MERTK-mediated efferocytosis [RNA-seq]	Lung alveolar macrophage were isolated by flow sorting from naïve and LPS treated groups. Three replicates for each group has been done.
GSE231366	18	False	False		False	False	ATAC-seq				Lung epithelial cell ATAC G9ai	3 populations of lung epithelial cells were collected each from lungs of 3 mice treated with G9a inhibitor and 3 mice treated with vehicle control and ATAC libraries were prepared from 10K cells
GSE231711	16	False	False		False	False	RNA-Seq				Genetically diverse mouse models of SARS-CoV-2 infection reproduce clinical variation in type I interferon and cytokine responses in COVID-19.	Spatial transcriptomics comparison of mouse lung FFPE samples infected with SARS-CoV-2
GSE231915	148	False	False		False	False	RNA-Seq			37756565	Spatial and temporal mapping of breast cancer lung metastases identify TREM2 macrophages at the metastatic boundary	We utilized photoactivatable GFP (PA-GFP) mice as recipients of EO771 breast cancer (BC) tumors and emergent spontaneous metastasis, thus enabling spatial analysis by application of the NICHE-seq technology (Medaglia et al., 2017). We performed photoactivation on metastases-bearing lungs, labeling either the metastasis core or the metastasis invasive margin (ADJ). We isolated immune cells from lun
GSE232040	167	False	False		False	True	RNA-Seq			38134933	Temporally resolved single-cell transcriptomics defines immune dysfunction trajectories in glioblastoma	Wt B6 mice were injected or not injected with GL261 cells into the right striatum. Some mice did not receive tumor. Some tumor bearing mice were treated with anti-TREM2 antibody or isotype control at days 2 and 7, some did not receive treatment. Mice were injected with fluorescent antibodies on days 11-12. On day 13 brains were extracted and single cell suspension enriched for CD45 cells were prep
GSE232730	4	True	True	KL_kras_lkb1,KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			38518770	CXCL9/10-engineered dendritic cells promote T cell activation and enhances immune checkpoint blockade for lung cancer.	Murine tumors were harvested on day 14 following subcutaneous inoculation with KPL-3M tumor cells and treatment. Single-cell suspension of murine tumors was stained with Zombie-NIR LIVE/DEAD stain and CD45 antibody before being isolated for alive CD45+ cells by Fluorescence-activated cell sorting (FACS) with a 100-mm nozzle.
GSE233001	45	False	False		False	True	RNA-Seq			38193115	An Engineered Niche Delineates Metastatic Potential of Breast Cancer	Comparative gene expression profiling analysis of RNA-seq data of scaffolds, lungs, spleens, and primary tumors of mice inoculated with the sister cell lines or a healthy control
GSE233470	54	True	True		False	True	ChIP-Seq,RNA-Seq			37333199,38265267	EZH2 inhibtion and IFNy treatment of patient derived organoids	Refer to individual Series
GSE233665	13	True	True		False	True	RNA-Seq			37333199,38265267	EZH2 inhibtion and IFNy treatment of patient derived organoids [scRNA-Seq]	To understand the cellular heterogeneity and responses to EZH2 inhibition and anti-PD1 therapies in lung squamous cell carcinoma
GSE233862	3	True	False	SCLC_GEMM	False	False	RNA-Seq			37311042	PTEN loss confers resistance to anti-PD-1 therapy in nonsmall cell lung cancer by increasing tumor infiltration of regulatory T cells	We generated a PTEN mutant version of the murin lung squamous carcinoma UNSCC680 cells using CRISPR-Cas9 technology. We performed RNAseq from in vitro cultured EVGFP control cells and PTEN mutant cells, at a single time-point. Comparative gene-expression profiling of RNAseq between EVGFP (Control) and PTEN null cells.
GSE234082	1	False	False		False	False	RNA-Seq				Interferon Gamma signaling triggers dysplastic alveolar remodeling during respiratory viral infection	Influenza PR8 infected 14 days post injury wild type mice left lung lobe were dissociated to single cells and subjected to Magnetic bead sorting (MACS) to remove CD31+ and CD45+ cells. The rest of cells were subjected to fluorescence activated cell sorting (FACS) to select all Epcam+CD31-CD45-cells. The sorted cells were using for scRNA-seq with a 10x Genomics platform.
GSE234818	42	True	True	SCLC_GEMM	False	False	RNA-Seq			38957477	Faecalibaterium prausnitzii strain EXL01 boosts efficacy of Immune Checkpoint Inhibitors	To investigate the effects of EXL01 strain at the tumor level, we conducted RNA sequencing analysis on the tumors biopsies collected 13 days post tumor inoculation
GSE235217	4	False	False		False	False	RNA-Seq			37905051	GRAMD2+ alveolar type I cell plasticity facilitates cell state transitions in organoid culture	Primary isolation of FACS sorted GFP+ cells were defined as day 0. On days 8, 13, and 20 of 3D culture, to obtain single cells, colonies were dissociated with dispase (#354235, BD Gibco) and TrypLE express (#12604013, Gibco). Biotinylated EpCAM Ab (#130-096-419, Miltenyi Biotec, San Diego, California), anti-biotin microbeads (#130-900-485, Miltenyi Biotec,) and MS columns (#130-042-201, Miltenyi B
GSE235563	3	True	False		False	False	RNA-Seq			38110410	Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy [Tetramer_scRNASeq]	Lung cell homogenate from M. tuberculosis infected mice at day 28 of infection were stained with fluorophore-labeled tetramers for Ag85B and ESAT-6 peptide, then magnetically enriched for fluorphore labeled events. Tetramer-enriched cells underwent scRNA-seq.
GSE235564	8	True	False		False	False	RNA-Seq			38110410	Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy [GFP_HI_LO_BULKRNASeq]	M. tuberculosis infected Nur77-GFP mice at day 28 of infection. Lung cell homogenates were stained with fluorescent antibodies to identify CD44hi, CD4+ T cells, then run on a Sony MA900 cell sorter, with gating on either highest or lowest 1/3 of population-wide GFP expression. FACS-sorted GFP HI or LO cells underwent bulk RNA-Seq.
GSE235579	128	False	False		False	False	RIP-Seq,ncRNA-Seq				RNA Immunoprecipitation and Sequencing of Isolated RNAs (RIP-SIR) Identifies Endogenous miRNA-Target Interactions	Experimental methods for identifying the targets of individual miRNAs typically require expression of exogenous, tagged miRNAs which may perturb native stoichiometry, are limited to the study of cultured cells and cannot be used to monitor miRNA-mediated regulation during processes such as differentiation or disease progression. Additional methods such as Argonaute High-Throughput Sequencing of RN
GSE235602	52	True	False	SCLC_GEMM	False	True	RNA-Seq			37713507	Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response [mouse]	Libraries were prepared accordingn to 10X Genomics protocols for 5' barcoded GEX, feature barcode, and V(D)J TCR (Version 1)
GSE235603	86	True	False		False	True	RNA-Seq			37713507	Lung tumor-infiltrating Treg have divergent transcriptional profiles and function linked to checkpoint blockade response	Refer to individual Series
GSE235799	12	True	False		False	False	RNA-Seq			38110410	Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy [GFP_HI_LO_scRNASeq]	M. tuberculosis infected Nur77-GFP mice at day 28 of infection were injected with an oligonucleotide (ADT/HTO/FBT) labeled anti-CD45.2 antibody immediately prior to euthanasia to identify cells in the lung vasculature. Lung cell homogenates were stained with fluorescent antibodies to identify CD44hi, CD4+ T cells, then run on a Sony MA900 cell sorter, with gating on either highest or lowest 1/3 of
GSE235800	24	True	False		False	False	RNA-Seq			38110410	Activated CD4 T cells in tuberculosis express OX40, a target for host-directed immunotherapy	Refer to individual Series
GSE235904	9	False	False		False	False	RNA-Seq			37477665	Single-cell transcriptomic analysis links non-myelinating Schwann cells to pro-inflammatory response in the lung [scRNA-seq]	hGFAP-tdTomato mice were either untreated or treated with PBS (vehicle) or LPS for 2 hours via oropharyngeal aspiration route (3 replicates per treatment condition). Then SCs were sorted using Fluorescence activated cell sorting (FACS) by selecting for CD45-EPCAM-CD31-tdTomato high cells from lung tissues, and analyzed by single-cell RNA-seq.
GSE235905	6	False	False		False	False	RNA-Seq			37477665	Single-cell transcriptomic analysis links non-myelinating Schwann cells to pro-inflammatory response in the lung [bulk RNA-Seq]	Lung SCs were sorted from hGFAP-tdTomato mice by selecting for CD45-EPCAM-CD31-tdTomato high cells, cultured for 8 days, stimulated with either PBS or LPS for 2 hours, and analyzed by bulk RNA-seq.
GSE235906	15	False	False		False	False	RNA-Seq				Single-cell transcriptomic analysis links non-myelinating Schwann cells to pro-inflammatory response in the lung	Refer to individual Series
GSE236258	15	True	False	CMT167	False	True	RNA-Seq			38643157	Trametinib sensitizes KRAS-mutant lung adenocarcinoma tumors to PD-1/PD-L1 axis blockade via Id1 downregulation	In order to investigate the molecular mechanisms involved in the trametinib-mediated Id1 downregulation, a global transcriptomic profiling using RNA sequencing analysis was performed on murine CMT167 and KLA lung cancer cells treated or not with trametinib.
GSE236563	16	True	False		False	False	RNA-Seq			39009832	Remdesivir has previously unknown anti-viral immunomodulatory properties through the Adenosine A2A Receptor pathway	C57Bl/6J mice treated IP with REM (10mg/kg) before infection with 10^5 PFUs of mouse-adapted SARS-CoV-2 (MA30) under BSL3 conditions. Treatment continued for the duration of the experiment. Mouse lungs were collected, fixed and used for RNA isolation to study differentially expressed genes in response to the infection/treatment.
GSE236720	26	True	False	KP_kras_p53	False	True	RNA-Seq				Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [RNA-seq]	Gene expression analysis of RNA-seq data for listed cells and tissues.
GSE236726	13	True	False	KP_kras_p53	False	True	RNA-Seq				Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [strand specific RNA-seq]	Transposable elements expression analysis of strand-specific RNA-seq data for listed cells.
GSE236727	2	True	False	KP_kras_p53	False	True	RNA-Seq				Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer [scRNA-seq]	We used single cell RNA sequencing (scRNA-seq) to analyze the tumour-infiltrating lymphocytes in subcutaneous KP tumours
GSE236728	73	False	False	KP_kras_p53	False	True	ATAC-seq,Bisulfite-Seq,ChIP-Seq,OTHER,RNA-Seq				Synthetic essentiality of thymine DNA glycosylase in p53-deficient cancer	Refer to individual Series
GSE236814	54	False	False		False	True	RNA-Seq			37968364	Comprehensive immune profile changes to human interferon stimulation in normal and HBV-infected conditions in a humanized mouse I	In an effort to explore the mechanism underlying the functional cure of Hepatitis B Virus (HBV) by interferon (IFN), we developed a humanized mouse model expressing the type I interferon receptor (huIFNAR mouse) via a CRISPR/Cas9-based knock-in technique. Further, we unveiled a remarkably tissue-specific gene expression atlas in response to human IFN treatment across several organs; these findings
GSE237092	12	False	False		False	False	RNA-Seq			37645925,39077737	Impact of Age and Sex on neuroinflammation due to SARS-CoV2 infection in a murine model.	We performed bulk mRNA-seq to examine the transcriptomic changes associated with SARS-CoV-2 infection in wild-type mice. RNA-Seq data was collected from 12 mice (6 males &amp; 6 female) at 10 months of age at 7 days post-infection. Sequencing was performed using Illumina NovaSeq 6000 platform, generating 20 million reads per sample on a 150-bp paired-end run.
GSE237519	60	False	False		False	False	RNA-Seq			37968364	Comprehensive immune profile changes to human interferon stimulation in normal and HBV-infected conditions in a humanized mouse	Refer to individual Series
GSE237849	2	True	False	LLC	True	True	RNA-Seq			40906823	Complex interaction of tumor-derived factors instructs the spatially distinct phenotypes of tumor-associated macrophages [scRNA-Seq]	To investigate how ISG15+ tumor-associated macrophages(TAM)-based on Adar knockout affect the whole tumor microenvironment, we isolated CD117+ hematopoietic stem cells(HSCs) from Loxp-Stop-Loxp-Cas9, Lyz2-Cre mice and generated control(sgNon-targeting control) and Adar myeloid specific conditonal knockout mice(mKO) by HSC recosntituion in lethally irradiated mice. Total tumor infiltrating immune c
GSE238065	24	False	False		False	False	RNA-Seq				Inhalable textile microplastic fibers impair airway epithelial differentiation	To investigate effects of nylon 6,6 fiber exposure on murine lung organoids. These lung organoid cultures consist of lung epithelial cells and CCL206 fibroblasts and were exposed to nothing (control), 12000, or 30000 12x31 um nylon 6,6 fibers in 6-well plates for 7 days. After 7 days epithelial cells were isolated from fibroblasts using anti-Epcam coated beads and the epithelial fraction was analy
GSE238223	24	False	False		False	False	RNA-Seq			39350665	Systemically primed central memory T cells source intranasally boosted tissue-resident memory T cells against melanoma lung metastasis	We immunized groups of C57BL/6 mice with DNA vaccine DNA-OVA i.m./EP plus live-attenuated influenza-vectored vaccine LAIV-HK68-OVA i.n. regimen and extracted total cells from lungs, MLN, and spleen at 21 days post DNA-OVA prime immunization (termed Day 0), 2 days, 4 days, and 30 days post LAIV-HK68-OVA booster vaccination for single-cell RNA sequencing (scRNA-seq).
GSE239388	18	True	False		False	False	RNA-Seq			37638006	Activation of Thousands of Genes in the Lungs and Kidneys by Sepsis is Countered by the Selective Nuclear Blockade	We investigated the lungs' and kidneys' genome response to polymicrobial sepsis. We also established an impact of nuclear import blockade on gene expression in sepsis. Polymicrobial sepsis was induced in 8-10-week-old female C57BL/6 mice (Jackson Laboratories, Bar Harbor, ME) by a single intraperitoneal injection of cecal microbiome (CM) stock solution. Mice were treated with saline or with cell-p
GSE239485	24	True	True	LLC	True	True	RNA-Seq				Effects of the C5aR1 blockade, Poly I:C and anti/PD1 combined treatment in the gene expression in LLC tumors	To analyze distinct transcriptomic profile of tumors treated with vehicle, the poly I:C and PD-1 blockade or the poly I:C, PD-1 blockade and C5aR1 blockade.
GSE240037	15	False	False		False	True	RNA-Seq				Bidirection activation of stem-like programs in metastatic cancer and alveolar type II cells within the niche [RNA-seq]	To investigate the transcriptional changes that occurs in cancer cells during outgrowth in the lung, we compared the RNA of 4T1 cancer cells growing in the dish (in vitro) and 4T1 cancer cells isolated from the lungs of BALB/c mice (in vivo) 7 days after tail vein injection. For isolation of lung epithelial cells, we injected 0.8x10^6 labeling-4T1 cancer cells and collected the lungs 7 days after 
GSE240040	27	False	False		False	True	ATAC-seq,RNA-Seq			38866011	Bidirection activation of stem-like programs in metastatic cancer and alveolar type II cells within the niche	ATAC-seq data of AT2 cells in the distal lung or the metastatic niche of breast and colon cancer pulmunary metastasis. RNA-seq data of EpCAM+ cells isolated from the distal lung, the metastatic niche of 4T1 shControl and of 4T1 shSox9 cell's niche. RNA-seq of 4T1 cancer cells growing in the dish (in vitro) and 4T1 cancer cells isolated from the lungs of BALB/c mice (in vivo) 7 days after tail vein
GSE240062	16	False	False		False	False	RNA-Seq			39080316	Andes virus mRNA vaccines: comparison of unmodified and modified mRNA platforms [scRNA-seq]	Ten-week-old BALB/c mice, four per group, were immunized intramuscularly with one dose of 25 µg of either U-mRNA or m1Ψ-mRNA formulated with LNP. Twelve days after immunization animals were euthanized, and draining inguinal and popliteal lymph nodes harvested and pooled for each mouse for cell sorting. Germinal center B cells were sorted and sequenced to generate single cell 5' gene expression and
GSE240108	6	True	False		False	True	RNA-Seq			38029750	Engineering irradiated tumor-derived microparticles as personalized vaccines to enhance antitumor immunity	Comparative gene expression profiling analysis of RNA-seq data for bone marrow derived macrophages which treated with RT-MPs or RT-MPs@S
GSE240336	12	True	False		False	False	RNA-Seq			38039967	The tumor-derived cytokine Chi3l1 induces neutrophil extracellular traps that promote T cell exclusion in triple-negative breast cancer	MIC mice were induced with doxyxycline in their drinking water (2mg/mL). The hyperplastic mammary gland was harvested.RNA was extracted and sequenced
GSE240511	8	False	False	KP_kras_p53	False	False	RNA-Seq			37728504	Metastatic competency and tumor spheroid formation are independent cell states governed by RB in lung adenocarcinoma	Group 1 samples express markers of EMT and metastatic competency. They form lung metastases upon intravenous injection. Group 2 samples do not show transcriptomic evidence of metastatic competency and are minimally capable of forming tumors in mice upon intravenous injection. All samples are RB-deficient.
GSE241094	45	False	False		False	False	RNA-Seq				Murine Legionella pneumophilaInfection by Bioaerosol Inhalation in a Madison Aerosol Chamber Leads to Similar Disease Outcomes and Host Transcriptomic Responses as Intranasal Inoculation While Allowin	To understand immune response in murine lung tissue after either intransal or aersosol-based delivery of Legionella pneumophila we exposed two cohorts of mice to either treatment at comparable L. pneumophila dosages. Aerosol based delivery was performed in a Madison aerosol chamber. After exposure animals were sacrificed after 1hr, 24hr, 48hr, or 72hr with biological replicates included in each su
GSE241175	6	False	False		False	True	RNA-Seq			37873566,40271154	Wnt signaling regulates ion channel expression to promote smooth muscle and cartilage formation in developing mouse trachea	E13.5 tracheal Epithelial cells and Myoblasts were isolated by FACS selection from, Bmp4 f/f; gammaSMAeGFP mouse trachea using APC-Epcam stain to select and isolate epithelial cells and GFP to isolate muscle cells.
GSE241212	47	True	False	LLC	True	True	RNA-Seq			38022590	Nonfucosylation of an anti-TIGIT antibody enhances FcyR engagement, driving innate immune activation and antitumor activity	Bulk RNA-seq was performed on tumors from syngeneic mouse models, and gene-level transcript levels were subsequently used to compute immune-related gene signature scores that were correlated with the activity of SEA-TGT in those models.
GSE241480	6	True	False	KP_kras_p53	False	True	RNA-Seq			37889752	KEAP1 mutation in lung adenocarcinoma promotes immune evasion and immunotherapy resistance [RNA-seq]	KEAP1 mutant (n=3) or wildtype (n=3) murine KP lung cancer cells were injected IV into C57BL/6 mice. Lungs were harvested and tumor were sorted by GFP reporter. RNA was extracted and processed for RNA-seq
GSE241481	4	True	False	KP_kras_p53	False	True	OTHER			37889752	KEAP1 mutation in lung adenocarcinoma promotes immune evasion and immunotherapy resistance [scRNA-seq]	KEAP1 mutant (n=1) or wildtype (n=1) murine KP lung cancer cells were injected IV into C57BL/6 mice. Lungs were harvested and extravascular CD45 cells were sorted for scRNA-seq. Samples were stained with hashtag antibodies. Libraries were generated for gene expression, hashtags, and TCR sequencing and were then sequenced.
GSE241482	10	True	False	KP_kras_p53	False	True	OTHER,RNA-Seq			37889752	KEAP1 mutation in lung adenocarcinoma promotes immune evasion and immunotherapy resistance.	Refer to individual Series
GSE241917	8	True	False		False	True					Re-education of myeloid immune cells to reduce regulatory T cell expansion and impede breast cancer progression [Nanostring]	To understand if NR0B2 plays a role in breast cancer metastasis, we grafted 4T1 cells to Balb/c mice and started treating mice with placebo (DMSO) or NR0B2 agonist (DSHN). Dendritic cells (CD11B+;CD11C+) were isolated from lungs. RNA was isolated. Gene expression profiling analysis was then performed on data obtained from Nanostring. Differentially expressed gene profiles between groups were gener
GSE241978	6	True	False	CMT167,SCLC_GEMM	False	False	RNA-Seq			39185148,40073102	IFN𝛾-induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (cm167 bulk RNA)	The experiment is comprised of 6 samples, profiling RNA extracted from mouse CMT 167 (C57 mouse tumor; referred to herein as CMT) cell lines. Each cell line was either unmodified (naive, or &quot;wild-type&quot;), subjected to CRISPR with a non-targeting control sgRNA, or subjected to CRISPR with an sgRNA designed to knock out the aryl hydrocarbon receptor (Ahr) gene. Each experimental group was r
GSE241979	5	True	False	CMT167,SCLC_GEMM	False	False	RNA-Seq			39185148,40073102	IFN𝛾-induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control (cmt167 scRNA)	To investigate the presence or absence of Ahr in malignant cells of the lung in regards to the functions related to tumorogenicity and immune signalling using an average of 5,792 viable cells from wildtype tumors from two mice and an average of 3,173 viable cells from AhR-KO tumors
GSE241980	17	False	False	CMT167	False	False	RNA-Seq			39185148,40073102	IFN𝛾-induced Immunosuppression in Lung Carcinoma is Mediated by an Environmental Chemical Receptor (AhR) through PD-L1 and IDO Control	Refer to individual Series
GSE242510	6	False	False		False	False	RNA-Seq				Myeloid-mesenchymal crosstalk drives ARG1-dependent profibrotic metabolism via ornithine in lung fibrosis	Lungs were isolated after 7 days after bleomycin injury. Macrophages were obtained by positive selection by binding to CD11b microbeads and passing through MACS columns (130-049-601, Miltenyi Biotech). Isolated CD11b+ macrophages were cultured in DMEM supplemented with 10% FBS, 1% penicillin-streptomycin, and 20 ng/ml M-CSF (315-02, Peprotech) for 2 days. Primary mouse lung fibroblasts were freshl
GSE242511	8	False	False		False	False	RNA-Seq				Reciprocal inflammatory signals establish profibrotic cross-feeding metabolism [young_old_bleo]	Lungs were isolated after 7 days after bleomycin injury. Immune cells were obtained by positive selection by binding to CD45 microbeads and passing through MACS columns (130-049-601, Miltenyi Biotech). Primary mouse lung fibroblasts were freshly isolated after magnetic bead-based negative selection of epithelial cells (118204, Biotin anti-mouse CD326 Epcam, Clone: G8.8, BioLegend), endothelial cel
GSE242789	18	True	True	LLC	True	False	RNA-Seq				The Effect of Immunotherapy PD-1 Blockade on Acute Bone Cancer Pain: Insights from Transcriptomic and Microbiomic Profiling	mRNA profiles of colon and spinal dorsal horn from three groups (sham+IgG group, cancer+IgG group, and cancer+nivolumab group) were generated by RNAseq, with n=3, using Illumina Novaseq 6000 platform.
GSE243124	4	False	False		False	False	RNA-Seq			41090357	Single-cell sequencing of mouse lung epithelial cells after bleomycin injury and modulation of IRE1α	This is single cell sequencing of mouse lung epithelial cells from a study with factorial design. The four groups are: wildtype mice exposed to saline; wildtype mice exposed to bleomycin; mice with conditional knockout of IRE1α in the lung epithelium -- Shh(Cre/+) Ern1(flox/flox) -- exposed to bleomycin; and wildtype mice exposed to bleomycin and treated daily with the IRE1a kinase inhibitor KIRA8
GSE244119	2	False	False	SCLC_GEMM	False	True	RNA-Seq			38788720	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Single cell RNA seq on RPM and RPMA GBC-derived allograft tumors, CellTagged]	We harvested normal globose basal cells (GBCs) via immunomagnetic selection for KIT from the pooled olfactory epithelium of n=3-4 Rb1 fl/fl; Trp53 fl/fl; Myc T58A (RPM) or Rb1 fl/fl; Trp53 fl/fl; Myc T58A; Ascl1 fl/fl (RPMA) mice, not exposed to Cre, 10 days following methimazole lesioning. RPM and RPMA GBCs were transformed by treatment with Cre and transduced with a lentiviral barcode-based line
GSE244122	4	False	False	SCLC_GEMM	False	False	RNA-Seq			38788720	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer [Single cell RNA seq on RPM-GFP and RPMA ONB tumors]	We harvested olfactory neuroblastoma tumor cells from n=1 homozygous Rb1 fl/fl; Trp53 fl/fl; H11b-LSL-MycT58A-Ires-Luc (RPM)-Rosa26-LSL-Cas9-Ires-Gfp (RPM-GFP) mouse in which tumor cells are GFP+, and n=3 homozygous Rb1 fl/fl; Trp53 fl/fl; H11b-LSL-MycT58A-Ires-Luc; Ascl1 fl/fl (RPMA) to perform single cell RNA-sequencing (scRNA-seq). Tumors were micro-dissected from the olfactory cavity of each m
GSE244123	103	False	False	SCLC_GEMM	False	True	RNA-Seq			38788720	Olfactory neuroblastoma mimics molecular subtypes and lineage trajectories of small cell lung cancer	Refer to individual Series
GSE244126	2	False	False		False	False	RNA-Seq			38036767	BCG vaccination stimulates Integrated Organ Immunity by feedback of the adaptive immune response to imprint prolonged innate antiviral resistance	Lung immune and epithelial cells were enriched by Fluorescence-activated cell sorting using respective cell markers and mixed with non-enriched fraction for scRNA-seq
GSE244452	6	True	False	KL_kras_lkb1,KP_kras_p53	False	True	RNA-Seq			38291516	Targeting focal adhesion kinase boosts immune response in KRAS/LKB1 co-mutated lung adenocarcinoma via remodeling the tumor microenvironment	To investigate the characteristics of TME in KP and KL tumors, in vivo tumor formation assay was performed. A total of 2 × 106 KP or KL cells were suspended in 200 μL PBS and then injected subcutaneously into 6 week old male C57BL/6 mice in the right flank. The tumor volumes were measured by caliper and calculated with a formula of π/6 × long diameter × short diameter × short diameter. Mice were s
GSE244820	10	False	False		False	True	RNA-Seq			38860845	Activation of alveolar epithelial ER stress by b-coronavirus infection disrupts surfactant homeostasis in mice: implications for COVID-19 respiratory failure	To determine if b-coronavirus infection disrupted functional and phenotypic characteristics of alveolar type 2 (AT2) cells we isolated AT2 and transitional AT2 cells by FACS from lungs of control (n=3) and 4dpi (n=4) MHV1 infected mice. Lungs were harvested from control and 4 day infected mice, single cells suspension was prepared by mehcanical and enzymatic digetsion. CD45+ and CD31+ cells were d
GSE244945	69	True	False	SCLC_GEMM	False	False	RNA-Seq			40627448	NOTCH1 reverses immune suppression in small cell lung cancer through reactivation of STING [RNA-seq]	We activated Notch signaling (through NOTCH1 and REST overexpression or LSD1 inhibition) in human and mouse small cell lung cancer cells and assessed for gene expression changes in innate immune response genes by bulk RNA-sequencing.
GSE245109	4	False	False		False	False	RNA-Seq			38374265	Spatial microniches of IL-2 synergize with IL-10 to drive lung migratory Th2 cells in response to inhaled allergen [scRNA-Seq]	1DER CD45.1 Tg T cells were adoptively transferred to CD45.2 host, followed by intrasnasal immunization with 25ug of house dust mite daily for three days. On the fourth day, mediastinal lymph nodes were harvested and dissociated for scRNAseq + CITEseq (Totalseq B0178 anti-mouse CD45.1)
GSE245172	10	False	False		False	False	RNA-Seq				APE1 regulates the transcription of urea cycle genes through stabilizing DNA G-quadruplexes in lung adenocarcinoma [SMART-Seq2]	Gene expression analysis of RNA-seq data for listed cells by Smart-seq2.
GSE245236	5	True	False	KP_kras_p53,SCLC_GEMM	False	True	RNA-Seq			38057662	Local IL-4 signaling within bone marrow drives pathogenic myelopoiesis in lung cancer	For all mouse scRNA-seq analyses, three mice were analyzed per condition. For scRNA-seq of KP tumor bearing Il4ra+/+ and Il4ra-flox Ms4a3-CRE lungs, T cells and myeloid cells were separately sorted and barcoded with 10x Cellplex oligos before being encapsulated using the 10X Chromium 3’ v3 chemistry kit according to manufacturer’s instructions. Cells sorted from the same genotype were barcoded and
GSE245259	30	False	False		False	False	RNA-Seq			38911863	The soluble factor milieu in IPF and in COPD exacerbations dysregulates epithelial differentiation	Mouse lung organoids (primary EpCAM+ cells co-cultured with CCL206 fibroblasts) were used to study epithelial growth and differentiation. Organoids exposed to IPFc, EC and TGF-β for 72 hours were resorted into EpCAM+ and CCL206 fractions, and subjected to RNA-sequencing.
