accession	gene	is_ici	is_kd_ko	organism	category	gds_type	n_geo_samples	title	marker_status	source	source_file	table_kind	n_values	value_mean	value_median	value_min	value_max	n_nonzero	de_logfc	de_pvalue	de_padj	contrast	group_a	n_a	mean_a	group_b	n_b	mean_b	mean_diff_b_minus_a	mannwhitney_p	groups_json	notes
GSE317011	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	6	β-Elemene Enhances the Efficacy of PD-L1 Inhibitor in Lung Cancer by Reprogramming Tumor-Associated Macrophages to M1 Phenotype via Suppressing FLT1/PI3K/AKT Signaling	found	supplementary	GSE317011_counts_anno.txt.gz	expression	6	0	0	0	0	0													[{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours01","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours02","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with 100 \u00b5g/mL \u03b2-elemene for 24 hours03","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours01","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours02","n":1,"mean":0.0,"median":0.0,"sd":null},{"group":"Bone marrow-derived macrophages were co-cultured with LLC cells and treated with PBS for 24 hours03","n":1,"mean":0.0,"median":0.0,"sd":null}]	
GSE317352	TACSTD2	Y	N	Mus musculus	ICI	Expression profiling by array	46	Early adjunct anti-PD-L1 therapy improves outcomes and reverses immune paralysis in murine pulmonary mucormycosis	not_on_platform	embedded_matrix	GSE317352_series_matrix.txt.gz																					gene absent from embedded platform table
GSE317352	CLDN4	Y	N	Mus musculus	ICI	Expression profiling by array	46	Early adjunct anti-PD-L1 therapy improves outcomes and reverses immune paralysis in murine pulmonary mucormycosis	not_on_platform	embedded_matrix	GSE317352_series_matrix.txt.gz																					gene absent from embedded platform table
GSE320142	TACSTD2	Y	N	Homo sapiens	ICI	Other	4	NKG2A inhibition promotes NK cell-CD8+ T cell interactions in support of improved anticancer immunity in ovarian carcinoma	no_processed_table																							no gene-level processed supplementary table listed
GSE320142	CLDN4	Y	N	Homo sapiens	ICI	Other	4	NKG2A inhibition promotes NK cell-CD8+ T cell interactions in support of improved anticancer immunity in ovarian carcinoma	no_processed_table																							no gene-level processed supplementary table listed
GSE328294	TACSTD2	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	6	IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer	found	supplementary	GSE328294_genes_fpkm_expression.xlsx	expression	6	194.236	191.103	35.1988	356.195	6													[{"group":"CTL1","n":1,"mean":35.198807,"median":35.198807,"sd":null},{"group":"CTL2","n":1,"mean":38.390095,"median":38.390095,"sd":null},{"group":"CTL3","n":1,"mean":38.728447,"median":38.728447,"sd":null},{"group":"IBI351","n":3,"mean":351.033213,"median":353.427917,"sd":6.688687}]	FPKM columns only (raw count columns ignored)
GSE328294	CLDN4	Y	N	Homo sapiens	ICI	Expression profiling by high throughput sequencing	6	IBI351, a novel KRASG12C inhibitor, enhances αPD-1 efficacy in KRASG12C mutant lung cancer	found	supplementary	GSE328294_genes_fpkm_expression.xlsx	expression	6	18.5152	17.7843	12.4766	25.6465	6													[{"group":"CTL1","n":1,"mean":25.646531,"median":25.646531,"sd":null},{"group":"CTL2","n":1,"mean":22.42179,"median":22.42179,"sd":null},{"group":"CTL3","n":1,"mean":24.572475,"median":24.572475,"sd":null},{"group":"IBI351","n":3,"mean":12.816872,"median":12.827209,"sd":0.335227}]	FPKM columns only (raw count columns ignored)
GSE330941	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Ago2 loss restores sensitivity to immune checkpoint inhibitors in immunorefractory lung cancer [RNA-seq vivo]	found	supplementary	GSE330941_raw_counts_All_Samples.csv.gz	expression	8	485.75	230	12	2511	8													[{"group":"LLC wild-type tumor, biol. rep","n":4,"mean":89.5,"median":60.0,"sd":99.84488},{"group":"LLC Ago2 knock-out tumor, biol. rep","n":4,"mean":882.0,"median":391.5,"sd":1093.120609}]	
GSE330941	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Ago2 loss restores sensitivity to immune checkpoint inhibitors in immunorefractory lung cancer [RNA-seq vivo]	found	supplementary	GSE330941_raw_counts_All_Samples.csv.gz	expression	8	296.25	124.5	9	1642	8													[{"group":"LLC wild-type tumor, biol. rep","n":4,"mean":43.5,"median":27.5,"sd":45.199558},{"group":"LLC Ago2 knock-out tumor, biol. rep","n":4,"mean":549.0,"median":207.5,"sd":730.839244}]	
GSE333285	TACSTD2	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Ago2 loss restores sensitivity to immune checkpoint inhibitors in immunorefractory lung cancer [RNA-seq vitro]	found	supplementary	GSE333285_tablecounts_raw.csv.gz	expression	8	0	0	0	0	0													[{"group":"LLC wild-type cells, biol. rep","n":4,"mean":0.0,"median":0.0,"sd":0.0},{"group":"LLC Ago2 knock-out cells, biol. rep","n":4,"mean":0.0,"median":0.0,"sd":0.0}]	
GSE333285	CLDN4	Y	Y	Mus musculus	ICI;KD/KO	Expression profiling by high throughput sequencing	8	Ago2 loss restores sensitivity to immune checkpoint inhibitors in immunorefractory lung cancer [RNA-seq vitro]	found	supplementary	GSE333285_tablecounts_raw.csv.gz	expression	8	1.25	1	0	3	6													[{"group":"LLC wild-type cells, biol. rep","n":4,"mean":1.0,"median":1.0,"sd":0.816497},{"group":"LLC Ago2 knock-out cells, biol. rep","n":4,"mean":1.5,"median":1.5,"sd":1.290994}]	
GSE33348	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by array	15	The Rho Exchange Factors Vav2 and Vav3 Control a Lung Metastasis–Specific Transcriptional Program in Breast Cancer Cells	found	embedded_matrix	GSE33348_series_matrix.txt.gz	expression	15	-0.213419	-0.504085	-1.63122	1.49854	15													[{"group":"4T1 cells harboring the empty pLKO.1puro lentiviral vector","n":3,"mean":1.312705,"median":1.403382,"sd":0.244148},{"group":"Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts","n":3,"mean":-0.621691,"median":-0.67469,"sd":0.138918},{"group":"Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts","n":6,"mean":-1.120546,"median":-1.158227,"sd":0.493152},{"group":"KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus","n":3,"mean":0.482984,"median":0.48441,"sd":0.053449}]	scale=log2-like
GSE33348	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by array	15	The Rho Exchange Factors Vav2 and Vav3 Control a Lung Metastasis–Specific Transcriptional Program in Breast Cancer Cells	found	embedded_matrix	GSE33348_series_matrix.txt.gz	expression	15	-0.265935	-0.562992	-1.54494	1.47367	15													[{"group":"4T1 cells harboring the empty pLKO.1puro lentiviral vector","n":3,"mean":1.324245,"median":1.298154,"sd":0.138244},{"group":"Clone B, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts","n":3,"mean":-0.650973,"median":-0.696223,"sd":0.145576},{"group":"Clone A, 4T1 cells transduced with lentivirus encoding shRNAs to mouse Vav2 and Vav3 transcripts","n":6,"mean":-1.069345,"median":-1.084076,"sd":0.443569},{"group":"KD2/3(A) cells, with Vav2 and Vav3 reexpressed using lentivirus","n":3,"mean":0.135741,"median":0.07733,"sd":0.101841}]	scale=log2-like
GSE48443	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by array	7	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	found	embedded_matrix	GSE48443_series_matrix.txt.gz	expression	7	12.1298	12.0892	11.561	12.6154	7					CLDN18_KnockOut	3	12.4865	WildType	4	11.8623	-0.624201	0.0571429	[{"group":"CLDN18_KnockOut","n":3,"mean":12.486489,"median":12.590953,"sd":0.202452},{"group":"WildType","n":4,"mean":11.862288,"median":11.899499,"sd":0.236286}]	scale=log2-like
GSE48443	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by array	7	Knockout mice reveal key roles for claudin-18 in alveolar fluid homeostasis.	found	embedded_matrix	GSE48443_series_matrix.txt.gz	expression	7	9.73035	9.67339	9.29687	10.3072	7					CLDN18_KnockOut	3	10.0394	WildType	4	9.49856	-0.540845	0.0571429	[{"group":"CLDN18_KnockOut","n":3,"mean":10.039409,"median":10.125947,"sd":0.31993},{"group":"WildType","n":4,"mean":9.498564,"median":9.511999,"sd":0.158554}]	scale=log2-like
GSE50927	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_Cldn4lungWTvsKOgenes.csv.gz	DE							-0.144934	0.485961	1	Cldn4lungWTvsKO										edgeR DE contrast Cldn4lungWTvsKO; logCPM=5.894
GSE50927	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_Cldn4lungWTvsKOgenes.csv.gz	DE							-6.0613	1.7663e-29	4.0673e-26	Cldn4lungWTvsKO										edgeR DE contrast Cldn4lungWTvsKO; logCPM=2.251
GSE50927	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtGenes.csv.gz	DE							1.2535	2.68746e-17	5.60878e-15	VILI_WT										edgeR DE contrast VILI_WT; logCPM=6.744
GSE50927	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtGenes.csv.gz	DE							3.95857	9.90857e-95	7.16885e-91	VILI_WT										edgeR DE contrast VILI_WT; logCPM=6.216
GSE50927	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtkohiGenes.csv.gz	DE							0.635229	0.00793372	0.220771	VILI_WT_vs_KO_high										edgeR DE contrast VILI_WT_vs_KO_high; logCPM=7.59
GSE50927	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtkohiGenes.csv.gz	DE							-10.1621	1.33054e-98	2.88795e-94	VILI_WT_vs_KO_high										edgeR DE contrast VILI_WT_vs_KO_high; logCPM=6.123
GSE50927	TACSTD2	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtkoloGenes.csv.gz	DE							-0.0530537	0.766574	1	VILI_WT_vs_KO_low										edgeR DE contrast VILI_WT_vs_KO_low; logCPM=7.224
GSE50927	CLDN4	N	Y	Mus musculus	KD/KO	Expression profiling by high throughput sequencing	5	RNAseq on lungs from WT vs claudin 4 KO mice that underwent ventilator-induced lung injury	found	supplementary	GSE50927_VILIwtkoloGenes.csv.gz	DE							-12.6928	1.77e-126	3.84e-122	VILI_WT_vs_KO_low										edgeR DE contrast VILI_WT_vs_KO_low; logCPM=6.133
