accession	uid	queries	taxon	n_samples	gdstype	pdat	gpl	title	summary
GSE142089	200142089	G_TROP2_KD	Mus musculus	658	Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing; Other	2023/06/26	21103;17021	Dynamics of chromatin marks and the role of EZH2/JMJD3/P300 during hepatoblast differentiation	Bi-potential hepatoblasts give rise to hepatocytes with the default fate choice, while undergo a regulatory fate transition to cholangiocytes. We aimed to understand how the “default” vs “regulatory” cell fate differentiations were modulated at the chromatin level. We performed chromatin immunoprecipitation sequencing (ChIP-seq) of hepatobiliary lineages to profile promoter and enhancer associated histone modifications H3K4me3, H3K27me3, H3K27ac and H3K4me1. We also performed in vivo gene manipu
GSE234266	200234266	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing; Other	2023/06/13	24247	Pharmacological targeting Netrin-1 inhibits EMT in cancer [Visium]	Epithelial-to-Mesenchymal transition (EMT) regulates tumour initiation, progression, metastasis and resistance to anti-cancer therapy. Whereas great progress had recently been made in understanding the role and mechanisms that regulate EMT in cancer, no therapeutic strategy to pharmacologically target EMT had been identified so far. Here, we found that Netrin-1 is upregulated in a primary mouse model of skin squamous cell carcinoma (SCCs) presenting spontaneous EMT. Pharmacological inhibition of
GSE234265	200234265	G_TROP2_KD	Mus musculus	4	Expression profiling by high throughput sequencing	2023/06/13	24247	Pharmacological targeting Netrin-1 inhibits EMT in cancer [scRNA-seq]	Epithelial-to-Mesenchymal transition (EMT) regulates tumor initiation, progression, metastasis and resistance to anti-cancer therapy. Whereas great progress had recently been made in understanding the role and mechanisms that regulate EMT in cancer, no therapeutic strategy to pharmacologically target EMT had been identified so far. Here, we found that Netrin-1 is upregulated in a primary mouse model of skin squamous cell carcinoma (SCCs) presenting spontaneous EMT. Pharmacological inhibition of 
GSE234263	200234263	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2023/06/13	24247	Pharmacological targeting Netrin-1 inhibits EMT in cancer [BulkRNA-seq]	Epithelial-to-Mesenchymal transition (EMT) regulates tumour initiation, progression, metastasis and resistance to anti-cancer therapy. Whereas great progress had recently been made in understanding the role and mechanisms that regulate EMT in cancer, no therapeutic strategy to pharmacologically target EMT had been identified so far. Here, we found that Netrin-1 is upregulated in a primary mouse model of skin squamous cell carcinoma (SCCs) presenting spontaneous EMT. Pharmacological inhibition of
GSE222285	200222285	G_TROP2_KD	Mus musculus	23	Expression profiling by high throughput sequencing	2023/01/07	17021;21273	In-depth profiling of transcriptional activity of Aire in mouse mTECs	Aire, a transcriptional regulator whose defect results in the development of autoimmunity, controls the transcriptome in medullary thymic epithelial cells (mTECs) including the genes for self-antigens. Here, we utilized a technique for profiling transcriptome from a single cell (RamDA-seq) to investigate bulk populations in mTECs deeply.
GSE200284	200200284	G_TROP2_KD	Mus musculus	1203	Expression profiling by high throughput sequencing	2022/10/26	21626	Intestinal epithelial inositol polyphosphate multikinase protects mice from experimental colitis via governing colonic tuft cell homeostasis	Intestinal homeostasis is dynamically coordinated by various types of epithelial cells fulfilling their specific functions. Tuft cells as chemosensory cells have emerged as key players of the host response, such as innate immunity. Tuft cells are also critical for the restoration of intestinal architecture upon damage, thereby contributing to inflammatory bowel diseases (IBDs) characterized by defective intestinal barrier integrity. However, the molecular mechanism of how tuft cell homeostasis i
GSE215388	200215388	G_TROP2_KD	Mus musculus	2	Expression profiling by high throughput sequencing	2022/10/18	21626	Extracellular galectin 4 drives immune evasion and promotes T-cell apoptosis in pancreatic cancer [scRNA-Seq]	Pancreatic ductal adenocarcinoma (PDAC) is characterized by rich deposits of extracellular matrix (ECM), affecting the pathophysiology of the disease. Here, we identified galectin 4 (gal 4) as a cancer cell produced protein deposited into the ECM of PDAC tumors and detected high circulating levels of gal 4 in PDAC patients. In orthotopic transplantation experiments we observed increased infiltration of T-cells and prolonged survival in immunocompetent mice transplanted with cancer cells with red
GSE215387	200215387	G_TROP2_KD	Mus musculus	6	Expression profiling by high throughput sequencing	2022/10/18	21626	Extracellular galectin 4 drives immune evasion and promotes T-cell apoptosis in pancreatic cancer [RNA-Seq]	Pancreatic ductal adenocarcinoma (PDAC) is characterized by rich deposits of extracellular matrix (ECM), affecting the pathophysiology of the disease. Here, we identified galectin 4 (gal 4) as a cancer cell produced protein deposited into the ECM of PDAC tumors and detected high circulating levels of gal 4 in PDAC patients. In orthotopic transplantation experiments we observed increased infiltration of T-cells and prolonged survival in immunocompetent mice transplanted with cancer cells with red
GSE200613	200200613	G_TROP2_KD	Mus musculus	7	Expression profiling by high throughput sequencing	2022/10/10	19057	BRCA mutational status shapes the stromal microenvironment of pancreatic cancer linking CLU+ CAF expression with HSF1 signaling (CAF)	Cancer-associated fibroblasts (CAFs) give rise to desmoplastic stroma, which supports tumor progression and metastasis, and comprises up to 90% of the tumor mass in pancreatic cancer. Recent work by us and others has shown that CAFs are transcriptionally rewired by adjacent cancer cells to form heterogeneous subtypes. Whether this rewiring is differentially affected by different driver mutations in cancer cells is largely unknown. Here we address this question by dissecting and comparing the str
GSE208585	200208585	G_TROP2_KD	Homo sapiens	12	Expression profiling by high throughput sequencing	2022/07/21	24676	CHD7 regulates otic lineage differentiation and sensory epithelium generation in human inner ear organoids	Mutations in the chromatin remodeling enzyme CHD7 cause CHARGE syndrome, which affects multiple organs including the inner ear. We investigated how CHD7 mutations affect otic development in human inner ear organoids. We found loss of CHD7 or its chromatin remodeling activity leads to complete absence of hair cells and supporting cells, which can be explained by dysregulation of key otic development-associated genes in mutant otic progenitors. Further analysis of the mutant otic progenitors sugge
GSE158715	200158715	G_TROP2_KD	Mus musculus	22	Expression profiling by high throughput sequencing	2022/05/23	19057	Arylhydrocarbon receptor and the cytochrome P450 enzyme CYP1B1 prevent exacerbation of allergic airway inflammation	Signaling via the arylhydrocarbon receptor (AhR) is thought to contribute to exacerbation of allergic asthma by anthropogenic pollution. The physiological role of AhR and its downstream targets CYP1 family members upon exposure to aeroallergens remain unknown. We seek to characterize the role of the AhR pathway for the regulation of allergic airway inflammation (AAI). We employed knockout animals of the AhR and its downstream target cytochrome P450 enzymes CYP1A1, CYP1A2 and CYP1B1 and subjected
GSE106856	200106856	G_TROP2_KD	Mus musculus	380	Expression profiling by high throughput sequencing	2022/03/30	21493;17021	Developmental dynamics of two bipotent progenitors of thymic epithelium	T cell development in the thymus is essential for cellular immunity and depends on the organotypic thymic epithelial microenvironment. Compared to other organs, the size and cellular composition of the thymus is unusually dynamic, exemplified by rapid growth and high T cell output during early stages of development, followed by a gradual loss of functional thymic epithelial cells and diminished naïve T cell production with age. Single-cell RNA sequencing (scRNA-seq) has uncovered an unexpected h
GSE125477	200125477	G_TROP2_KD	Homo sapiens	65	Expression profiling by high throughput sequencing	2022/01/22	16791	Transcriptional profiling of early haematopoietic mesoderm and endoderm in differentiating human pluripotent stem cells.	The aim of this project was to compare the transcriptional profiles of populations of cells derived from human pluripotent stem cells under haematopoietic and endoderm differentiation conditions. We used a reporter line (denoted SOX-RUNX) that carries mCHERRY inserted into the SOX17 locus and GFP inserted into the RUNX1C locus to mark haematopoietic progenitors (Ng et al., Nature Biotechnology, Nov 2016). SOX17 marks both endothelium and early endoderm. SOX17 is absolutely required at all stages
GSE222450	200222450	G_SN38_PDL1	Mus musculus	12	Expression profiling by high throughput sequencing	2023/01/11	19057	SN-38, an active metabolite of irinotecan, enhances anti-PD1 treatment efficacy in head and neck squamous cell carcinoma	Anti-programmed cell death 1 (PD-1) therapy shows definite but modest activity in patients with advanced/metastatic HNSCC.  Preliminary evidence suggests that SN-38, an activated form of irinotecan that activates the transcription factor FoxO3a, may suppress the expression of PD-L1 in breast and ovarian tumor models.   Here, we explore the efficacy of SN-38 in combination with anti-PD1 for HNSCC treatment. In vitro, SN-38 enhances FoxO3a expression and reduces the expression of PD-L1 dose-depend
GSE38088	200038088	G_CPE_CLDN	Homo sapiens	5	Expression profiling by array	2013/06/01	6244	Expression data from human induced pluripotent stem cell-derived teratomas and embryoid bodies	The tumorigenicity of human pluripotent stem cells (hPSCs) is a major safety concern for their application in regenerative medicine. Here we identify the tight-junction protein Claudin-6 as a specific cell surface marker of hPSCs that can be used to selectively remove Claudin-6-positive cells from mixed cultures. We show that Claudin-6 is absent in adult tissues but highly expressed in undifferentiated cells, where it is dispensable for hPSC survival and self-renewal. We use three different stra
