accession	gds_type	entrytype	taxon	n_samples	gpl	pdat	title	summary	suppfile	ftplink	matched_queries
GSE271684		GSE	Homo sapiens	4	15520	2026/01/07	Disruption of the epigenetic regulator BAP1 drives chromatin remodeling leading to the emergence of cells with breast cancer stem cell properties and aberrant glycosylation [gRNA_MiSeq]	Epigenetic regulator genes are key in controlling cell identity and are frequently disrupted in breast cancers. However, specific epigenetic drivers (epidrivers) of mammary cell plasticity and their mechanistic contributions to this phenotype are poorly characterized. Here, we employed a CRISPR/Cas9 loss-of-function screening strategy to identify potential epidrivers of the emergence of mesenchymal breast cancer stem cell-like phenotypes in non-tumorigenic mammary cells. We unveiled that loss of the histone deubiquitinase BAP1 led to increased expression of breast cancer stem cell and several epithelial-to-mesenchymal transition markers accompanied by disrupted cell organization in mammary spheroids. In-depth characterization of epigenome and transcriptome changes following BAP1 loss revealed less permissive chromatin and downregulation in gene expression impacting programs that control cellular glycosylation, leading to decreased glycan abundance and complexity. BAP1 rescue restored the expression of several deregulated genes in a catalytic activity-dependent manner, suggesting that BAP1-mediated cell identity and glycosylation regulation are dependent on its histone deubiquitinase activity. Our results point to BAP1 as an epidriver of mammary cell plasticity and glycosylation aberrations, through the disruption of its histone modifying and gene expression regulation roles.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE271nnn/GSE271684/	TACSTD2 AND CRISPR
GSE271964		GSE	Mus musculus	2	24247	2025/08/15	Single-cell RNA-seq of 4T1 breast tumors from mice treated with anti-Siglec-E and/or anti-PD-1 antibodies	Metastasis remains the leading cause of cancer-related mortality, driven by complex interactions within the tumor microenvironment (TME). Tumor-associated macrophages (TAMs) play a pivotal role in metastatic progression, yet molecular diversity and upstream regulators remain poorly defined. Glycoprotein nonmetastatic melanoma protein B (GPNMB), overexpressed in subsets of tumors including triple-negative breast cancer (TNBC), is implicated in epithelial-mesenchymal transition (EMT) and cancer stemness. Recent single-cell RNA-seq studies have identified GPNMB as a marker of immunosuppressive TAMs associated with poor prognosis, but its mechanistic role in TAM polarization in TNBC has remained unclear. Co-culturing monocytic cells with three-dimensional sphere-forming TNBC cells induces their conversion into GPNMB⁺Siglec-9⁺ tumor-associated macrophages (TAMs). Tumor-derived GPNMB promotes monocyte-to-TAM polarization by inducing secondary GPNMB expression in monocytes, establishing a feed-forward amplification loop. Knockdown of GPNMB in TNBC cells significantly inhibits multiple immunosuppressive TAM subtypes, including Siglec-9⁺ TAM and EMT-associated TAM populations, as inferred from scRNA-seq and validated in patient tumors using bulk RNA-seq deconvolution. Distinct sialylation patterns were identified: tumor-derived GPNMB exhibited α2,3-sialylation, whereas macrophage-derived GPNMB exhibited α2,6-sialylation, enabling differential Siglec-9 recognition. Elevated GPNMB and Siglec-9 expression correlated with poor prognosis in TNBC patient cohorts. Importantly, dual inhibition of Siglec-E (murine Siglec-9 ortholog) and PD-1 suppressed IL-6-dependent EMT, reduced tumor stemness, and significantly limited lung metastasis in vivo. The GPNMB–Siglec-9 axis thus represents a critical glyco-immunological checkpoint driving TAM-mediated metastasis, providing a promising therapeutic target in TNBC.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE271nnn/GSE271964/	TACSTD2 AND knockdown;TROP-2 AND knockdown
GSE272063		GSE	Mus musculus	64	17021;21493;24247	2025/04/15	Developmental trajectory and evolutionary origin of thymic mimetic cells [dataset 1]	The generation of self-tolerant repertoires of T cells depends on the expression of peripheral self antigens in the thymic epithelium, and the presence of small populations of cells mimicking the diverse phenotypes of peripheral tissues. Whereas the molecular underpinnings of self-antigen expression have been extensively studied, the developmental origins and differentiation pathways of thymic mimetic cells remain to be identified. Moreover, the histological identification of myoid and other peripheral cell types as components of the thymic microenvironment of many vertebrate species raises questions as to the evolutionary origin of this unique tolerance mechanism. Here, we show that during mouse development, mimetic cells appear in the microenvironment in two successive waves. Cells exhibiting transcriptional signatures characteristic of muscle, ionocyte, goblet and ciliated cells emerge before birth, whereas others, for instance those mimicking enterohepatic cells and skin keratinocytes appear postnatally. These two groups also respond differently to modulations of TEC progenitor pools caused by deletions of Foxn1 and Ascl1, expression of a hypomorphic Foxn1 transcription factor, and overexpression of Bmp4 and Fgf7 signalling molecules. Differences in mimetic cell populations were also observed in thymic microenvironments reconstructed by replacement of mouse Foxn1 with evolutionarily ancient Foxn1/4 gene family members, including the Foxn4 gene of the cephalochordate amphioxus, and the Foxn4 and Foxn1 genes of a cartilaginous fish. Whereas some cell types, such as ciliated cells, develop in the thymus in the absence of Foxn1, mimetic cells appearing postnatally, such as enterohepatic cells, require the activity of the vertebrate-specific transcription factor Foxn1. The thymus of cartilaginous fishes and the thymoid of lampreys, a representative of jawless vertebrates that exhibit an alternative adaptive immune system, also harbour cells expressing genes encoding peripheral tissue components, such as the liver-specific protein transthyretin. Our findings suggest an evolutionary model of successive changes of thymic epithelial genetic networks enabling the coordinated contribution of peripheral antigen expression and mimetic cell formation to achieve central tolerance for vertebrate-specific innovations of certain tissues, such as the liver.	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272063/	TACSTD2 AND overexpression
GSE272144		GSE	Mus musculus	19	17021	2025/04/15	Developmental trajectory and evolutionary origin of thymic mimetic cells [dataset 3]	The generation of self-tolerant repertoires of T cells depends on the expression of peripheral self antigens in the thymic epithelium, and the presence of small populations of cells mimicking the diverse phenotypes of peripheral tissues. Whereas the molecular underpinnings of self-antigen expression have been extensively studied, the developmental origins and differentiation pathways of thymic mimetic cells remain to be identified. Moreover, the histological identification of myoid and other peripheral cell types as components of the thymic microenvironment of many vertebrate species raises questions as to the evolutionary origin of this unique tolerance mechanism. Here, we show that during mouse development, mimetic cells appear in the microenvironment in two successive waves. Cells exhibiting transcriptional signatures characteristic of muscle, ionocyte, goblet and ciliated cells emerge before birth, whereas others, for instance those mimicking enterohepatic cells and skin keratinocytes appear postnatally. These two groups also respond differently to modulations of TEC progenitor pools caused by deletions of Foxn1 and Ascl1, expression of a hypomorphic Foxn1 transcription factor, and overexpression of Bmp4 and Fgf7 signalling molecules. Differences in mimetic cell populations were also observed in thymic microenvironments reconstructed by replacement of mouse Foxn1 with evolutionarily ancient Foxn1/4 gene family members, including the Foxn4 gene of the cephalochordate amphioxus, and the Foxn4 and Foxn1 genes of a cartilaginous fish. Whereas some cell types, such as ciliated cells, develop in the thymus in the absence of Foxn1, mimetic cells appearing postnatally, such as enterohepatic cells, require the activity of the vertebrate-specific transcription factor Foxn1. The thymus of cartilaginous fishes and the thymoid of lampreys, a representative of jawless vertebrates that exhibit an alternative adaptive immune system, also harbour cells expressing genes encoding peripheral tissue components, such as the liver-specific protein transthyretin. Our findings suggest an evolutionary model of successive changes of thymic epithelial genetic networks enabling the coordinated contribution of peripheral antigen expression and mimetic cell formation to achieve central tolerance for vertebrate-specific innovations of certain tissues, such as the liver.	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272144/	TACSTD2 AND overexpression
GSE272221		GSE	Homo sapiens	4	28038	2026/01/13	RNA-seq analysis of EpCAM-GFP and GFP overexpression in FLO-1 esophageal adenocarcinoma	EpCAM is one of the highly expressed marker in esophageal adenocarcinoma as identidied in several multi-OMICS platform. We utilize FLO-1 cells which are lacking in EpCAM expresssion and use overexpression strategy to elucidate the function of EpCAM in this cells. Recombinant EpCAM-GFP or GFP only was trasnfected in FLO-1 cells, and the stable cells after antibiotic selection were isolated and expanded. The cells were then subjected to mRNA sequencing.	XLS	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE272nnn/GSE272221/	TACSTD2 AND overexpression
GSE274355		GSE	Mus musculus	8	21103	2024/08/09	PRDM3/16 Regulate Chromatin Accessibility Required for NKX2-1 Mediated Alveolar Epithelial Differentiations and Function [Cut&Run H3K4me3]	Differential chromatin accessibility accompanies and mediates transcriptional control of diverse cell fates and their differentiation during embryogenesis. While the critical role of NKX2-1 and its transcriptional targets in lung morphogenesis and pulmonary epithelial cell differentiation is increasingly known, mechanisms by which chromatin accessibility alters the epigenetic landscape and how NKX2-1 interacts with other co-activators required for alveolar epithelial cell differentiation and function are not well understood. Here, we demonstrate that the paired domain zinc finger transcriptional regulators PRDM3 and PRDM16 regulate chromatin accessibility to mediate cell differentiation decisions during lung morphogenesis. Combined deletion of Prdm3 and Prdm16 in early lung endoderm caused perinatal lethality due to respiratory failure from loss of AT2 cell function. Prdm3/16 deletion led to the accumulation of partially differentiated AT1 cells and loss of AT2 cells. A combination of single cell RNA-seq, bulk ATAC-seq, and CUT&RUN demonstrated that PRDM3 and PRDM16 enhanced chromatin accessibility at NKX2-1 transcriptional targets in peripheral epithelial cells, with all three factors binding together at a multitude of cell-type specific cis-active DNA elements. Network analysis demonstrated that PRDM3/16 regulated genes critical for perinatal AT2 cell differentiation, surfactant homeostasis, and innate host defense. Lineage specific deletion of PRDM3/16 in AT2 cells led to lineage infidelity, with PRDM3/16 null cells acquiring a partial AT1 fate. Together, these data demonstrate that NKX2-1-dependent regulation of alveolar epithelial cell differentiations is mediated by epigenetic modulation via PRDM3/16.	BW, NARROWPEAK	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE274nnn/GSE274355/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE275503		GSE	Homo sapiens	36	24676	2024/10/09	GETomics based bulk-RNA sequencing revealed HIF-3α prevents COPD by inhibiting alveolar epithelial cell ferroptosis via the HIF-3α-GPx4 axis.	COPD patients are largely asymptomatic until later stages when prognosis is generally poor. Here, by shifting the focus forward to pre-COPD and smoking stages, we found the peak of reactive oxygen species (ROS) level and hypoxia character are enriched in pre-COPD samples, and hypoxia inducible factor (HIF)-3α is the key factor. Smoking induced regional tissue hypoxia and emphysema have been found in COPD patients. However, the mechanisms underlying hypoxia especially HIF-3α and COPD have not been investigated. In this study, by leveraging scRNA-seq and EpCAM co-localization analysis we identified HIF-3α is downregulated in alveolar epithelial cells in COPD. In vitro experiments using lentivirus transfection, bulk-RNA seq and RSL3 we found the activation of HIF-3α-GPx4 axis inhibits alveolar epithelial cell ferroptosis under the treatment of cigarettes smoking extracts (CSE). Further results from SftpcCreert2/+R26LSL-Hif3a knock-in mice demonstrated overexpression of HIF-3α inhibits alveolar epithelial cells ferroptosis and prevents the declining of lung function. Our data suggest the activation of HIF-3α-GPx4 axis prevents COPD by inhibiting alveolar epithelial cells ferroptosis. By leveraging this comprehensive analysis method, more promising treatment targets will be found and enhance our understanding to the pathogenesis.	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE275nnn/GSE275503/	TACSTD2 AND overexpression
GSE276809		GSE	Mus musculus	4	19057	2024/10/30	scRNA-seq analysis of murine TECs after depleting RANKL and CD40L signaling	the molecular mechanisms behind the turnover of medullry thymic epithelial cells remain unclear. We performeds single cell RNA-seq of TECs from mice 15 days after depleting cytokine RANKL and CD40L signaling.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE276nnn/GSE276809/	Tacstd2 AND deficient
GSE277833		GSE	Mus musculus	12	24247	2025/09/23	KANSL3 directs transcriptional programs essential for hepatic metabolism and differentiation [scRNA-seq]	Understanding the molecular mechanisms governing liver homeostasis and disease progression is crucial for developing new therapeutic strategies for chronic liver diseases and liver cancer, with emerging evidence underscoring the key role of epigenetic regulation. Here, we show that hepatic deletion of the epigenetic regulator KANSL3, a component of the NSL complex, causes early-onset chronic liver disease, distinct from metabolic dysfunction-associated steatohepatitis (MASH). Loss of KANSL3 leads to biliary hyperplasia and early hepatic fibrosis, indicating its vital role in liver structure and function. KANSL3 acts as a master regulator of hepatocyte gene expression through histone acetylation, impacting global liver transcriptional networks. scRNA-seq analysis uncovers that KANSL3 deletion disrupts hepatocyte differentiation in vivo and in hepatic organoids. Ultimately, chronic KANSL3 loss alters the liver microenvironment and promotes an immunosuppressive premalignant state linked to hepatocellular carcinoma (HCC).	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE277nnn/GSE277833/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE278664		GSE	Homo sapiens	35	20301	2024/10/16	Distinct effects of sacituzumab govitecan and berzosertib on DNA damage response in ovarian cancer	Antibody-drug conjugates (ADCs) have become an important class of anticancer drugs in solid tumors including drug-resistant gynecologic malignancies. TROP2 is a cell surface antigen that is highly expressed in ovarian carcinoma (OC) but minimally expressed in normal ovarian tissues. In this study, we aimed to identify how TROP2-specific ADC, sacituzumab govitecan (SG), modulates DNA damage response pathways in drug-resistant OC. We found that SG induces G2/M arrest, increases RPA1 foci, and decreases replication fork speed, resulting in replication stress in TROP2-positive cells while these were less evident in TROP2-negative cells. In OC in vitro and in vivo models, SN-38 sensitivity and TROP2 expression play key roles in response to either ATR inhibitor or SG alone, or in combination. Additionally, inhibition of translesion DNA synthesis enhances SG and PARP inhibitor (PARPi) sensitivity in PARPi-resistant OC cells. These findings provide mechanistic insights for clinical development of SG in drug-resistant OC.	XLSX	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE278nnn/GSE278664/	TROP2 AND sacituzumab
GSE280059		GSE	Mus musculus	6	24247	2025/03/19	Mice with Lymphatic Dysfunction Develop Pathogenic Lung Tertiary Lymphoid Organs that Model an Autoimmune Emphysema Phenotype of COPD	We have previously shown that mice with loss of C-type lectin-like type II (CLEC2), which have lymphatic dysfunction due to the role of CLEC2 in platelets for maintaining separation between the venous and lymphatic system, develop lung tertiary lymphoid organ (TLO) formation and lung injury that resembles an emphysema phenotype of chronic obstructive pulmonary disease (COPD). We now sought to investigate whether and how TLOs in these mice may play a pathogenic role in lung injury that is relevant to human disease. We found that inhibiting TLO formation using an anti-CD20 antibody in CLEC2-deficient mice partially blocked the development of emphysema. TLOs in CLEC2-deficient mice were rich in plasma cells and were a source of a broad array of autoantibodies. Chronic cigarette smoke exposure increased the size and number of lung TLOs in CLEC2-deficient mice, and was associated with increased markers of antigen presentation and maturation, leading to increased autoantibody deposition. Using lung tissue from COPD patients, we found an increase in lymphatic markers in patients with an emphysema phenotype and autoreactive TLOs compared to COPD patients without emphysema that lack prominent TLOs. Taken together, these results demonstrate that emphysema in mice with lymphatic dysfunction can be partially rescued by blocking TLO formation, and that these TLOs are source of autoantibodies that are exacerbated by cigarette smoke. Our work suggests that lymphatic dysfunction in mice may recapitulate some aspects an autoimmune emphysema phenotype that is seen in a subset of patients with COPD.	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE280nnn/GSE280059/	Tacstd2 AND deficient
GSE284026		GSE	Mus musculus	34	34290	2026/01/23	NR2F6 deletion revives CAR‑T cell function and induces antigen‑agnostic immune memory in solid tumors	CAR‑T cell therapy is effective in hematologic malignancies but remains challenging in solid tumors owing to antigen heterogeneity and tumor microenvironment‑induced exhaustion. Here, gene editing of the nuclear receptor NR2F6 restores CAR‑T cell functionality, sustaining a TCF1⁺ progenitor‑exhausted T cell phenotype, enhancing metabolic fitness, and preserving cytotoxic potency under chronic antigen exposure. In immunocompetent models, Nr2f6‑deficient CAR‑T cells suppress solid tumor growth and induce robust, polyclonal host antitumor responses, as shown by protection in tumor re‑challenge experiments. Although infused CAR‑T cells disappear within 2 weeks, durable tumor control coincides with epitope spreading and secondary immune responses, likely via dendritic and other antigen‑presenting cell reactivation. Protection against antigen‑negative tumors and transferable immunity reveal a dual mode of direct cytotoxicity followed by durable immune reprogramming. This broadened host immunity may offset immune escape driven by antigen loss and tumor heterogeneity, establishing NR2F6 inhibition as a promising CAR‑T engineering strategy for durable, antigen‑agnostic solid‑tumor immunotherapy.	CSV, MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE284nnn/GSE284026/	TACSTD2 AND knockout;Tacstd2 AND deficient;Tacstd2 AND mouse AND knockout
GSE288075		GSE	Homo sapiens	6	34284	2025/03/29	Efficient DNA- and virus-free engineering of cellular transcriptomic states using dCas9 ribonucleoprotein (dRNP)-complexes	For genome editing, the use of CRISPR ribonucleoprotein (RNP) complexes is well established and often the superior choice over plasmid-based or viral strategies. RNPs containing dCas9 fusion proteins, which enable the targeted manipulation of transcriptomes and epigenomes remain significantly less accessible. Here, we describe the production, delivery and optimization of second generation CRISPRa RNPs (dRNPs). We characterize the transcriptional and cellular consequences of dRNP treatments in a variety of human target cells and show that the uptake is very efficient. The targeted activation of genes demonstrates remarkable potency, even for genes that are strongly silenced, such as developmental master transcription factors. In contrast to DNA based CRISPRa strategies, gene activation is immediate and characterized by a sharp temporal precision. We also show, that dRNPs allow very high target multiplexing, enabling undiminished gene activation of multiple genes simultaneously. Applying these insights, we find that intensive target multiplexing at single promoters synergistically elevates gene transcription. Finally, we demonstrate in human stem and differentiated cells that the preferable features of dRNPs allow to instruct and convert cell fates efficiently without the need for DNA delivery or viral vectors. Please cite: Tobias Schmidt, Maximilian Wiesbeck, Luisa Egert, Thi-Tram Truong, Anna Danese, Lukas Voshagen, Simon Imhof, Matilde Iraci Borgia, Deeksha, Andrea M Neuner, Anna Köferle, Arie Geerlof, André Santos Dias Mourão, Stefan H Stricker, Efficient DNA- and virus-free engineering of cellular transcriptomic states using dCas9 ribonucleoprotein (dRNP) complexes, Nucleic Acids Research, Volume 53, Issue 6, 11 April 2025, gkaf235, https://doi.org/10.1093/nar/gkaf235	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288075/	TACSTD2 AND CRISPR
GSE288137		GSE	Homo sapiens; Mus musculus	16	24676;24247	2026/06/07	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	H5, RDS, TBI, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288137/	TACSTD2 AND CRISPR
GSE288196		GSE	Mus musculus	22	24247	2026/06/08	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [bulk RNA-seq]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288196/	TACSTD2 AND CRISPR
GSE288220		GSE	Mus musculus	6	24247	2026/06/08	Single cell multiomics unravel the transcription networks controlling the different EMT tumor states [multiome]	Epithelial-to-mesenchymal transition (EMT) is a process by which cells lose their epithelial characteristics and acquire mesenchymal traits. In cancer, EMT is associated with tumor initiation, progression, invasion, metastasis and resistance to therapy. Recent studies demonstrated that EMT is not a binary switch, but presents intermediate states associated with different tumor functions. The gene regulatory networks (GRNs) controlling the different EMT states remain elusive. Here, using multi-OMIC approaches combining single cell RNA-seq and single cell ATAC-seq, we define the transcriptomic and chromatin landscape associated with the distinct EMT states in mouse skin squamous cell carcinoma (SCC) exhibiting EMT. Using CRISPR/Cas9-mediated loss of function studies combined with functional characterization in vitro and in vivo, we unravel the cellular and molecular mechanisms regulated by Pitx1, Klf5, Nfatc1 and Creb3l1, transcription factors (TFs) controlling specific EMT states. Altogether, our results identify the transcriptional and chromatin landscape of the distinct EMT tumor states and uncover novel key TFs controlling these states and their transition, providing potential novel targets for anti-cancer therapy.	H5, TBI, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288220/	TACSTD2 AND CRISPR
GSE288990		GSE	Mus musculus	8	30172	2026/01/05	Spatial single cell transcriptomic analysis of a lineage-traceable mouse model of DICER1 Syndrome informs tumor developmental hierarchy [scRNA-seq]	DICER1 syndrome predisposes children and young adults to tumor development across various organs. Most of these cancers are sarcomas, which uniquely express the RNase IIIb domain-deficient form of DICER1 and exhibit histological and molecular similarities regardless of their anatomical origins. To uncover their cellular origin and developmental hierarchy, we established a lineage-traceable genetically engineered mouse model allowing for controlled activation of Dicer1 mutations in Hic1+ mesenchymal stromal cells. This resulted in the development of renal tumors closely mirroring human DICER1 sarcoma histologically and molecularly. Spatial single-cell transcriptomics analysis revealed that a Hic1+Pdgfra+Mfap4+ fibroblastic progenitor population, corresponding to perivascular universal fibroblasts of steady-state kidneys, exhibits the capability to undergo rhabdomyoblastic differentiation or transition into proliferative sarcomatous cells. Investigation of patient samples identified analogous cell states and developmental trajectories. This study uncovers a fibroblastic origin for DICER1 sarcoma and provides a faithful model for future mechanistic and translational investigation.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288990/	Tacstd2 AND deficient
GSE289287		GSE	Homo sapiens	23	24676	2026/02/10	Trop-2 governs anti-metastatic desmosomal integrity	Trop-2 and DSG2 are proteins critical for the formation of intercellular contacts in healthy epithelial tissue. In cancer cells, their roles have been reported to vary, acting as either tumor suppressors or promoters depending on the context. In our study, deletion of Trop-2 or DSG2 in T-47D breast cancer cell lines resulted in a similar phenotype. In vivo, xenografts derived from these knockout cell lines exhibited an increased ability to form distant metastases. The present study links the observed in vivo metastatic phenotype to transcriptomic alterations identified in both knockout cell lines and their corresponding xenografts.	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289287/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE289872		GSE	Mus musculus	6	17021	2026/05/12	Eosinophils promote a second wave of postnatal smooth muscle cell differentiation in intestinal villi	Intestinal villus smooth muscle cells (SMCs) play a critical structural and functional role in the gut, notably facilitating dietary fat transport via villus-associated lymphatic lacteals. In the early postnatal period subepithelial PDGFRα+ fibroblasts are guided by lacteals to differentiate and assemble into villus SMCs. We show now that villus SMC expansion can occur in the absence of lacteals suggesting the involvement of additional mechanisms. Using whole-mount imaging, genetic lineage tracing, and eosinophil-deficient models, we identify a second wave of intestinal SMC differentiation where villus tip perivascular PDGFRβ+ cells are a reservoir of distal SMC progenitors. We demonstrate that resident intestinal eosinophils act as key drivers and coordinators of TGFβ-dependent villus SMC expansion and maturation. Our findings propose a model in which distinct mesenchymal sources provide progenitors for generation of postnatal villus SMCs and reveal a novel morphogenetic role of intestinal eosinophils as critical mediators of SMC development in the gut.	TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE289nnn/GSE289872/	Tacstd2 AND deficient
GSE294827		GSE	Homo sapiens; Mus musculus	81	34328;11154;30172;19057;24247;13112	2025/09/29	A plastic EMP1⁺ to LGR5⁺ cell state conversion as a therapeutic bypass to KRAS-G12D inhibition in metastatic colorectal cancer	This SuperSeries is composed of the SubSeries listed below.	MTX, TSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE294nnn/GSE294827/	TACSTD2 AND CRISPR
GSE295739		GSE	Mus musculus	8	24247	2026/03/30	The NAMPT/SIRT7/SOD2 axis regulates alveolar progenitor cell renewal and pulmonary fibrosis [scRNA-seq]	We employed single-cell RNA sequencing using the 10x Genomics platform to investigate the role of nicotinamide phosphoribosyltransferase (NAMPT), a key enzyme in NAD+ biosynthesis, in AT2 cells in the lung. NAMPT has been implicated in regulating stem cell function, mitochondrial bioenergetics, apoptosis, and senescence in neurodegenerative diseases, endothelial cells, and human iPS cells. Single-cell lung suspensions were prepared from Nampt AT2 conditional knockout and control mice at day 0 and day 4 post-bleomycin injury. scRNA-seq was performed on FACS-sorted Epcam+ and CD45+ live cells, and purified cells were clustered to evaluate NAMPT function in AT2 and immune cells.	H5	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE295nnn/GSE295739/	TACSTD2 AND knockout;Tacstd2 AND mouse AND knockout
GSE296267		GSE	Mus musculus	2	21273	2025/12/04	DNA methylation analysis for mouse spermatogonia defficient in Pld6.	In the male germline of mammals, the expression of retrotransposons is restricted by DNA methylation, trimethylation of histone H3 at lysin-9 (H3K9me3) and PIWI-interacting small RNAs (piRNAs). To elucidate their relative importance in regulating retrotransposons during germ-cell development as well as relationships between these mechanisms, we performed mRNA, DNA methylation, and histone methylation analyses using mouse spermatogonia from Dnmt3l and Pld6 mutants deficient in de novo DNA methylation and piRNA production, respectively. The results revealed that a loss of DNA methylation results in decreased H3K9me3 and increased H3K4me3, suggesting a pivotal role of DNA methylation in maintaining the epigenome integrity.	COV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296267/	Tacstd2 AND deficient
GSE296268		GSE	Mus musculus	19	17021	2025/12/04	Retrotransposon expression analysis for mouse spermatogonia defficient in Dnmt3l and Pld6.	In the male germline of mammals, the expression of retrotransposons is restricted by DNA methylation, trimethylation of histone H3 at lysin-9 (H3K9me3) and PIWI-interacting small RNAs (piRNAs). To elucidate their relative importance in regulating retrotransposons during germ-cell development as well as relationships between these mechanisms, we performed mRNA, DNA methylation, and histone methylation analyses using mouse spermatogonia from Dnmt3l and Pld6 mutants deficient in de novo DNA methylation and piRNA production, respectively. The results revealed that a loss of DNA methylation results in decreased H3K9me3 and increased H3K4me3, suggesting a pivotal role of DNA methylation in maintaining the epigenome integrity.	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296268/	Tacstd2 AND deficient
GSE296269		GSE	Mus musculus	18	21273	2025/12/04	ChIP analysis of H3K9me3 and H3K4me3 for mouse spermatogonia and leptotene/zygotene spermatocytes defficient in Dnmt3l and Pld6.	In the male germline of mammals, retrotransposon expression is restricted by DNA methylation, trimethylation of histone H3 at lysin-9 (H3K9me3), and PIWI-interacting small RNAs (piRNAs). To elucidate their relative importance in regulating retrotransposons during germ cell development and the relationships between these mechanisms, we performed mRNA, DNA methylation, and histone methylation analyses using mouse spermatogonia from Dnmt3l and Pld6 mutants deficient in de novo DNA methylation and piRNA production, respectively. The results revealed that loss of DNA methylation resulted in decreased H3K9me3 in young L1 subfamilies and increased H3K4me3 in many retrotransposons, suggesting a pivotal role of DNA methylation in maintaining epigenomic integrity in spermatogonia and later stages of spermatogenesis. The transcriptional upregulation of retrotransposons by a loss of DNA methylation was more evident during meiosis (spermatocytes) than before meiosis (spermatogonia). These results are aligned with a global reduction of H3K9me3 at retrotransposons in spermatocytes. The piRNA system also regulated H3K9me3 and H3K4me3 at retrotransposons in spermatogonia likely through the regulation of DNA methylation, since the loss of DNA methylation resulted in decreased H3K9me3 and increased H3K4me3 at the same retrotransposon loci even in the presence of piRNAs.	BW	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE296nnn/GSE296269/	Tacstd2 AND deficient
